player_name,total_games,date_range,cycle_consistency_score,metric,classification,confidence,dip_count,avg_drop_magnitude,optimal_cycle_days,recent_dip_dates,recent_intervals
DiDi Richards,20,2024-05-14 to 2024-07-14,0.156,PTS,Likely Fatigue,0.812,6,0.892,25,"2024-06-29, 2024-07-02, 2024-07-10","15, 3, 8"
DiDi Richards,20,2024-05-14 to 2024-07-14,0.156,REB,Likely Fatigue,0.846,8,0.925,25,"2024-06-07, 2024-06-14, 2024-07-02","3, 7, 18"
DiDi Richards,20,2024-05-14 to 2024-07-14,0.156,AST,Likely Fatigue,0.873,11,1.0,25,"2024-07-06, 2024-07-10, 2024-07-14","4, 4, 4"
Azurá Stevens,20,2024-07-07 to 2024-09-19,0.105,PTS,Likely Fatigue,0.862,7,0.628,25,"2024-09-15, 2024-09-17, 2024-09-19","7, 2, 2"
Azurá Stevens,20,2024-07-07 to 2024-09-19,0.105,REB,Likely Fatigue,0.742,9,0.489,25,"2024-09-15, 2024-09-17, 2024-09-19","7, 2, 2"
Azurá Stevens,20,2024-07-07 to 2024-09-19,0.105,AST,Likely Fatigue,1.081,11,0.78,28,"2024-09-15, 2024-09-17, 2024-09-19","9, 2, 2"
Kristy Wallace,26,2024-05-14 to 2024-09-19,0.071,PTS,Likely Fatigue,0.937,11,0.751,25,"2024-08-18, 2024-08-30, 2024-09-11","39, 12, 12"
Kristy Wallace,26,2024-05-14 to 2024-09-19,0.071,REB,Likely Fatigue,0.914,11,0.744,25,"2024-08-18, 2024-08-30, 2024-09-11","39, 12, 12"
Kristy Wallace,26,2024-05-14 to 2024-09-19,0.071,AST,Likely Fatigue,0.936,11,0.769,25,"2024-08-18, 2024-08-30, 2024-09-11","39, 12, 12"
Diana Taurasi,36,2024-05-14 to 2024-09-19,0.061,PTS,Likely Fatigue,0.888,14,0.429,25,"2024-09-05, 2024-09-13, 2024-09-19","4, 8, 6"
Diana Taurasi,36,2024-05-14 to 2024-09-19,0.061,REB,Likely Fatigue,0.867,16,0.476,25,"2024-09-05, 2024-09-13, 2024-09-19","4, 8, 6"
Diana Taurasi,36,2024-05-14 to 2024-09-19,0.061,AST,Likely Fatigue,1.06,12,0.639,28,"2024-08-16, 2024-09-05, 2024-09-19","33, 20, 14"
Layshia Clarendon,21,2024-05-15 to 2024-08-15,0.039,PTS,Likely Fatigue,0.941,11,0.568,25,"2024-07-13, 2024-07-16, 2024-08-15","11, 3, 30"
Layshia Clarendon,21,2024-05-15 to 2024-08-15,0.039,REB,Likely Fatigue,0.865,11,0.813,25,"2024-06-22, 2024-07-02, 2024-07-13","2, 10, 11"
Layshia Clarendon,21,2024-05-15 to 2024-08-15,0.039,AST,Likely Fatigue,1.076,12,0.563,28,"2024-07-05, 2024-07-13, 2024-08-15","3, 8, 33"
Ivana Dojkić,26,2024-05-14 to 2024-09-17,0.013,PTS,Likely Fatigue,0.892,11,0.891,25,"2024-08-24, 2024-09-10, 2024-09-17","2, 17, 7"
Ivana Dojkić,26,2024-05-14 to 2024-09-17,0.013,REB,Likely Fatigue,1.017,12,1.0,28,"2024-08-24, 2024-09-10, 2024-09-17","2, 17, 7"
Ivana Dojkić,26,2024-05-14 to 2024-09-17,0.013,AST,Likely Fatigue,1.053,14,1.0,28,"2024-08-22, 2024-08-24, 2024-09-10","5, 2, 17"
