player_name,stat_type,line,adjusted_prediction,actual_result,kelly_fraction,kelly_used,bet_percentage,adv_phase,adv_risk_tag,game_date,raw_kelly
Kelsey Plum,pts+rebs+asts,39.0,41.0,,0.1547,0.0359,0.0359,luteal,phase_aligned,2025-04-28,0.1547
Arike Ogunbowale,assists,3.1,2.2,,0.0,0.0,0.0,menstrual,low_confidence,2025-04-29,0.0
Sabrina Ionescu,pts+rebs+asts,20.5,13.1,23.8,0.0,0.0,0.0,menstrual,low_confidence,2025-04-30,0.0
Alyssa Thomas,pts+rebs+asts,30.3,23.9,28.5,0.0,0.0,0.0,follicular,high_confidence,2025-05-01,0.0
Kelsey Plum,rebounds,11.6,11.8,,0.0051,0.0009,0.0009,luteal,phase_aligned,2025-05-02,0.0051
Napheesa Collier,threes,4.3,4.0,,0.0,0.0,0.0,menstrual,moderate,2025-05-03,0.0
Jewell Loyd,threes,4.9,3.3,4.1,0.0,0.0,0.0,menstrual,moderate,2025-05-04,0.0
Napheesa Collier,points,27.4,28.8,,0.1634,0.0322,0.0322,menstrual,moderate,2025-05-05,0.1634
Diana Taurasi,threes,4.2,3.5,4.7,0.0,0.0,0.0,luteal,high_confidence,2025-05-06,0.0
Arike Ogunbowale,assists,7.0,7.6,6.9,0.25,0.0472,0.0472,menstrual,moderate,2025-05-07,0.25
Arike Ogunbowale,threes,3.9,4.7,,0.25,0.0506,0.0506,follicular,low_confidence,2025-05-08,0.25
Jewell Loyd,assists,6.8,7.1,9.2,0.1285,0.0258,0.0258,follicular,low_confidence,2025-05-09,0.1285
Kelsey Plum,rebounds,4.2,4.7,1.7,0.25,0.0498,0.0498,ovulatory,high_confidence,2025-05-10,0.25
Kelsey Plum,threes,3.2,4.0,,0.25,0.0434,0.0434,ovulatory,high_confidence,2025-05-11,0.25
Jewell Loyd,points,13.7,16.2,,0.25,0.0517,0.0517,ovulatory,low_confidence,2025-05-12,0.25
Arike Ogunbowale,rebounds,5.0,4.6,7.0,0.0,0.0,0.0,luteal,phase_aligned,2025-05-13,0.0
Napheesa Collier,threes,4.4,4.4,4.3,0.0,0.0,0.0,follicular,high_confidence,2025-05-14,0.0
Alyssa Thomas,rebounds,6.7,6.5,7.8,0.0,0.0,0.0,follicular,phase_aligned,2025-05-15,0.0
Diana Taurasi,points,16.1,18.5,12.3,0.25,0.0461,0.0461,follicular,high_confidence,2025-05-16,0.25
Arike Ogunbowale,points,16.3,16.1,18.1,0.0,0.0,0.0,menstrual,moderate,2025-05-17,0.0
Napheesa Collier,rebounds,11.9,12.3,13.1,0.1051,0.019,0.019,luteal,high_confidence,2025-05-18,0.1051
