player_name,team_name,stat_type,line,league,position,timestamp
Sergei Bobrovsky,FLA,Goalie Saves,24.5,NHL,G,2025-06-16T20:09:03.465246
Gabby Williams,SEA,Points,13.5,WNBA,F,2025-06-16T20:09:03.465267
Gabby Williams,SEA,Assists,5.5,WNBA,F,2025-06-16T20:09:03.465272
Gabby Williams,SEA,3-PT Made,3.5,WNBA,F,2025-06-16T20:09:03.465275
Gabby Williams,SEA,3-PT Made,2.5,WNBA,F,2025-06-16T20:09:03.465277
Gabby Williams,SEA,Rebounds,4.5,WNBA,F,2025-06-16T20:09:03.465279
Gabby Williams,SEA,Pts+Rebs+Asts,29.5,WNBA,F,2025-06-16T20:09:03.465281
Gabby Williams,SEA,Points,19.5,WNBA,F,2025-06-16T20:09:03.465283
Gabby Williams,SEA,Rebounds,5.5,WNBA,F,2025-06-16T20:09:03.465287
Gabby Williams,SEA,Pts+Rebs+Asts,19.5,WNBA,F,2025-06-16T20:09:03.465289
Gabby Williams,SEA,Rebounds,7.5,WNBA,F,2025-06-16T20:09:03.465291
Gabby Williams,SEA,Rebs+Asts,8.0,WNBA,F,2025-06-16T20:09:03.465293
Gabby Williams,SEA,Fantasy Score,29.0,WNBA,F,2025-06-16T20:09:03.465295
Gabby Williams,SEA,Pts+Rebs+Asts,22.0,WNBA,F,2025-06-16T20:09:03.465297
Gabby Williams,SEA,Points,9.5,WNBA,F,2025-06-16T20:09:03.465299
Gabby Williams,SEA,Pts+Asts,17.5,WNBA,F,2025-06-16T20:09:03.465301
Gabby Williams,SEA,Points,11.5,WNBA,F,2025-06-16T20:09:03.465303
Gabby Williams,SEA,Points,14.5,WNBA,F,2025-06-16T20:09:03.465305
Gabby Williams,SEA,Rebounds,4.0,WNBA,F,2025-06-16T20:09:03.465307
Gabby Williams,SEA,Pts+Rebs,17.5,WNBA,F,2025-06-16T20:09:03.465308
Gabby Williams,SEA,Rebounds,3.5,WNBA,F,2025-06-16T20:09:03.465310
Gabby Williams,SEA,Assists,2.5,WNBA,F,2025-06-16T20:09:03.465311
Gabby Williams,SEA,Pts+Rebs+Asts,24.5,WNBA,F,2025-06-16T20:09:03.465313
Gabby Williams,SEA,Rebounds,2.5,WNBA,F,2025-06-16T20:09:03.465316
Gabby Williams,SEA,Points,12.5,WNBA,F,2025-06-16T20:09:03.465318
Gabby Williams,SEA,Assists,4.5,WNBA,F,2025-06-16T20:09:03.465320
Ezi Magbegor,SEA,Rebounds,6.5,WNBA,F-C,2025-06-16T20:09:03.465322
Ezi Magbegor,SEA,Points,7.5,WNBA,F-C,2025-06-16T20:09:03.465324
Ezi Magbegor,SEA,Points,11.5,WNBA,F-C,2025-06-16T20:09:03.465326
Ezi Magbegor,SEA,Pts+Rebs+Asts,20.0,WNBA,F-C,2025-06-16T20:09:03.465327
Ezi Magbegor,SEA,Fantasy Score,25.5,WNBA,F-C,2025-06-16T20:09:03.465329
Ezi Magbegor,SEA,Points,14.5,WNBA,F-C,2025-06-16T20:09:03.465331
Ezi Magbegor,SEA,Pts+Rebs,18.0,WNBA,F-C,2025-06-16T20:09:03.465332
Ezi Magbegor,SEA,Rebounds,8.0,WNBA,F-C,2025-06-16T20:09:03.465336
Ezi Magbegor,SEA,Points,9.5,WNBA,F-C,2025-06-16T20:09:03.465338
Ezi Magbegor,SEA,Rebounds,11.5,WNBA,F-C,2025-06-16T20:09:03.465340
Ezi Magbegor,SEA,Rebounds,9.5,WNBA,F-C,2025-06-16T20:09:03.465341
Arike Ogunbowale,DAL,Fantasy Score,16.0,WNBA1H,G,2025-06-16T20:09:03.465343
Arike Ogunbowale,DAL,Points,9.5,WNBA1H,G,2025-06-16T20:09:03.465346
Arike Ogunbowale,DAL,Pts+Rebs+Asts,13.5,WNBA1H,G,2025-06-16T20:09:03.465347
Ezi Magbegor,SEA,Pts+Rebs+Asts,10.0,WNBA1H,F-C,2025-06-16T20:09:03.465349
Ezi Magbegor,SEA,Points,4.5,WNBA1H,F-C,2025-06-16T20:09:03.465351
Ezi Magbegor,SEA,Fantasy Score,13.0,WNBA1H,F-C,2025-06-16T20:09:03.465353
Gabby Williams,SEA,Pts+Rebs+Asts,11.5,WNBA1H,F,2025-06-16T20:09:03.465355
Gabby Williams,SEA,Fantasy Score,15.0,WNBA1H,F,2025-06-16T20:09:03.465357
Gabby Williams,SEA,Points,7.0,WNBA1H,F,2025-06-16T20:09:03.465358
Nneka Ogwumike,SEA,Fantasy Score,18.0,WNBA1H,F,2025-06-16T20:09:03.465360
Nneka Ogwumike,SEA,Points,9.5,WNBA1H,F,2025-06-16T20:09:03.465361
Nneka Ogwumike,SEA,Pts+Rebs+Asts,14.5,WNBA1H,F,2025-06-16T20:09:03.465363
Skylar Diggins,SEA,Fantasy Score,17.5,WNBA1H,G,2025-06-16T20:09:03.465365
Skylar Diggins,SEA,Pts+Rebs+Asts,14.0,WNBA1H,G,2025-06-16T20:09:03.465367
Skylar Diggins,SEA,Points,9.0,WNBA1H,G,2025-06-16T20:09:03.465368
Maddy Siegrist,DAL,Points,14.5,WNBA,F,2025-06-16T20:09:03.465370
Maddy Siegrist,DAL,Rebounds,5.5,WNBA,F,2025-06-16T20:09:03.465372
Maddy Siegrist,DAL,Points,10.5,WNBA,F,2025-06-16T20:09:03.465374
Maddy Siegrist,DAL,Rebounds,4.5,WNBA,F,2025-06-16T20:09:03.465376
Maddy Siegrist,DAL,Points,9.5,WNBA,F,2025-06-16T20:09:03.465378
Maddy Siegrist,DAL,Pts+Rebs,15.0,WNBA,F,2025-06-16T20:09:03.465379
Maddy Siegrist,DAL,Rebounds,3.5,WNBA,F,2025-06-16T20:09:03.465381
Maddy Siegrist,DAL,Rebounds,7.5,WNBA,F,2025-06-16T20:09:03.465383
Maddy Siegrist,DAL,Points,11.5,WNBA,F,2025-06-16T20:09:03.465384
Maddy Siegrist,DAL,Points,7.5,WNBA,F,2025-06-16T20:09:03.465386
Maddy Siegrist,DAL,Points,5.0,WNBA1H,F,2025-06-16T20:09:03.465388
Arike Ogunbowale,DAL,Assists,7.5,WNBA,G,2025-06-16T20:09:03.465390
Arike Ogunbowale,DAL,Points,14.5,WNBA,G,2025-06-16T20:09:03.465392
Arike Ogunbowale,DAL,3-PT Made,3.5,WNBA,G,2025-06-16T20:09:03.465394
Arike Ogunbowale,DAL,Pts+Asts,23.0,WNBA,G,2025-06-16T20:09:03.465396
Arike Ogunbowale,DAL,Points,18.0,WNBA,G,2025-06-16T20:09:03.465397
Arike Ogunbowale,DAL,Rebounds,3.5,WNBA,G,2025-06-16T20:09:03.465399
Arike Ogunbowale,DAL,Rebs+Asts,8.0,WNBA,G,2025-06-16T20:09:03.465400
Arike Ogunbowale,DAL,Assists,3.5,WNBA,G,2025-06-16T20:09:03.465402
Arike Ogunbowale,DAL,Points,29.5,WNBA,G,2025-06-16T20:09:03.465404
Arike Ogunbowale,DAL,3-PT Made,1.5,WNBA,G,2025-06-16T20:09:03.465406
Arike Ogunbowale,DAL,Points,19.5,WNBA,G,2025-06-16T20:09:03.465407
Arike Ogunbowale,DAL,3-PT Made,4.5,WNBA,G,2025-06-16T20:09:03.465409
Arike Ogunbowale,DAL,Pts+Rebs+Asts,26.0,WNBA,G,2025-06-16T20:09:03.465411
Arike Ogunbowale,DAL,Points,16.5,WNBA,G,2025-06-16T20:09:03.465412
Arike Ogunbowale,DAL,Fantasy Score,32.0,WNBA,G,2025-06-16T20:09:03.465415
Arike Ogunbowale,DAL,Assists,2.5,WNBA,G,2025-06-16T20:09:03.465417
Arike Ogunbowale,DAL,Pts+Rebs,21.5,WNBA,G,2025-06-16T20:09:03.465418
Arike Ogunbowale,DAL,Points,24.5,WNBA,G,2025-06-16T20:09:03.465420
Arike Ogunbowale,DAL,Assists,5.5,WNBA,G,2025-06-16T20:09:03.465422
Skylar Diggins,SEA,Fantasy Score,35.0,WNBA,G,2025-06-16T20:09:03.465424
Skylar Diggins,SEA,Assists,11.5,WNBA,G,2025-06-16T20:09:03.465426
Skylar Diggins,SEA,Points,19.5,WNBA,G,2025-06-16T20:09:03.465427
Skylar Diggins,SEA,Assists,5.5,WNBA,G,2025-06-16T20:09:03.465429
Skylar Diggins,SEA,Pts+Rebs+Asts,28.0,WNBA,G,2025-06-16T20:09:03.465430
Skylar Diggins,SEA,Assists,9.5,WNBA,G,2025-06-16T20:09:03.465432
Skylar Diggins,SEA,Assists,6.5,WNBA,G,2025-06-16T20:09:03.465435
Skylar Diggins,SEA,Rebs+Asts,10.0,WNBA,G,2025-06-16T20:09:03.465437
Skylar Diggins,SEA,Pts+Asts,25.5,WNBA,G,2025-06-16T20:09:03.465439
Skylar Diggins,SEA,Points,18.5,WNBA,G,2025-06-16T20:09:03.465441
Skylar Diggins,SEA,Assists,7.0,WNBA,G,2025-06-16T20:09:03.465442
Skylar Diggins,SEA,Points,24.5,WNBA,G,2025-06-16T20:09:03.465444
Skylar Diggins,SEA,Points,14.5,WNBA,G,2025-06-16T20:09:03.465446
Nneka Ogwumike,SEA,Points,17.5,WNBA,F,2025-06-16T20:09:03.465448
Nneka Ogwumike,SEA,Pts+Rebs+Asts,29.5,WNBA,F,2025-06-16T20:09:03.465450
Nneka Ogwumike,SEA,Fantasy Score,35.0,WNBA,F,2025-06-16T20:09:03.465451
Nneka Ogwumike,SEA,Points,14.5,WNBA,F,2025-06-16T20:09:03.465453
Nneka Ogwumike,SEA,Pts+Rebs,27.5,WNBA,F,2025-06-16T20:09:03.465454
Nneka Ogwumike,SEA,Points,24.5,WNBA,F,2025-06-16T20:09:03.465456
Nneka Ogwumike,SEA,Rebounds,6.5,WNBA,F,2025-06-16T20:09:03.465458
Nneka Ogwumike,SEA,Points,20.5,WNBA,F,2025-06-16T20:09:03.465460
Nneka Ogwumike,SEA,Points,19.5,WNBA,F,2025-06-16T20:09:03.465462
Nneka Ogwumike,SEA,Rebounds,8.0,WNBA,F,2025-06-16T20:09:03.465464
Nneka Ogwumike,SEA,Rebounds,11.5,WNBA,F,2025-06-16T20:09:03.465466
Nneka Ogwumike,SEA,Rebounds,9.5,WNBA,F,2025-06-16T20:09:03.465467
Nneka Ogwumike,SEA,Rebounds,12.5,WNBA,F,2025-06-16T20:09:03.465469
Nneka Ogwumike,SEA,Rebounds,7.5,WNBA,F,2025-06-16T20:09:03.465471
DiJonai Carrington,DAL,Rebounds,6.5,WNBA,G-F,2025-06-16T20:09:03.465473
DiJonai Carrington,DAL,Points,19.5,WNBA,G-F,2025-06-16T20:09:03.465475
DiJonai Carrington,DAL,Points,11.5,WNBA,G-F,2025-06-16T20:09:03.465476
DiJonai Carrington,DAL,Fantasy Score,25.0,WNBA,G-F,2025-06-16T20:09:03.465478
DiJonai Carrington,DAL,Rebounds,2.5,WNBA,G-F,2025-06-16T20:09:03.465479
DiJonai Carrington,DAL,Rebounds,4.5,WNBA,G-F,2025-06-16T20:09:03.465481
DiJonai Carrington,DAL,Rebounds,4.0,WNBA,G-F,2025-06-16T20:09:03.465483
DiJonai Carrington,DAL,Points,12.5,WNBA,G-F,2025-06-16T20:09:03.465484
DiJonai Carrington,DAL,Rebounds,3.5,WNBA,G-F,2025-06-16T20:09:03.465486
DiJonai Carrington,DAL,Pts+Rebs,17.0,WNBA,G-F,2025-06-16T20:09:03.465488
DiJonai Carrington,DAL,Pts+Rebs+Asts,19.0,WNBA,G-F,2025-06-16T20:09:03.465490
DiJonai Carrington,DAL,Rebounds,5.5,WNBA,G-F,2025-06-16T20:09:03.465492
DiJonai Carrington,DAL,Points,9.5,WNBA,G-F,2025-06-16T20:09:03.465494
DiJonai Carrington,DAL,Points,14.5,WNBA,G-F,2025-06-16T20:09:03.465496
NaLyssa Smith,DAL,Pts+Rebs,14.0,WNBA,F,2025-06-16T20:09:03.465498
NaLyssa Smith,DAL,Points,9.5,WNBA,F,2025-06-16T20:09:03.465499
DiJonai Carrington,DAL,Fantasy Score,13.0,WNBA1H,G-F,2025-06-16T20:09:03.465501
DiJonai Carrington,DAL,Points,6.5,WNBA1H,G-F,2025-06-16T20:09:03.465503
DiJonai Carrington,DAL,Pts+Rebs+Asts,10.0,WNBA1H,G-F,2025-06-16T20:09:03.465504
NaLyssa Smith,DAL,Points,4.5,WNBA1H,F,2025-06-16T20:09:03.465506
Myisha Hines-Allen,DAL,Points,8.0,WNBA,F,2025-06-16T20:09:03.465508
Myisha Hines-Allen,DAL,Pts+Rebs+Asts,17.0,WNBA,F,2025-06-16T20:09:03.465510
Myisha Hines-Allen,DAL,Points,4.0,WNBA1H,F,2025-06-16T20:09:03.465512
Myisha Hines-Allen,DAL,Pts+Rebs+Asts,8.5,WNBA1H,F,2025-06-16T20:09:03.465513
Arike Ogunbowale,DAL,Points,4.5,WNBA1Q,G,2025-06-16T20:09:03.465515
Skylar Diggins,SEA,Points,4.0,WNBA1Q,G,2025-06-16T20:09:03.465517
Nneka Ogwumike,SEA,Points,5.0,WNBA1Q,F,2025-06-16T20:09:03.465518
Skylar Diggins + Arike Ogunbowale,SEA/DAL,Points (Combo),36.5,WNBA,G,2025-06-16T20:09:03.465520
Skylar Diggins + Arike Ogunbowale,SEA/DAL,Assists (Combo),12.0,WNBA,G,2025-06-16T20:09:03.465522
Julio Rodríguez,SEA,Total Bases,0.5,MLB,OF,2025-06-16T20:09:03.465524
Julio Rodríguez,SEA,RBIs,1.5,MLB,OF,2025-06-16T20:09:03.465526
Julio Rodríguez,SEA,Hitter Strikeouts,1.5,MLB,OF,2025-06-16T20:09:03.465528
Julio Rodríguez,SEA,Hitter Strikeouts,0.5,MLB,OF,2025-06-16T20:09:03.465530
Julio Rodríguez,SEA,Runs,0.5,MLB,OF,2025-06-16T20:09:03.465531
Julio Rodríguez,SEA,Total Bases,1.5,MLB,OF,2025-06-16T20:09:03.465533
Julio Rodríguez,SEA,Runs,1.5,MLB,OF,2025-06-16T20:09:03.465535
Julio Rodríguez,SEA,Hits+Runs+RBIs,2.5,MLB,OF,2025-06-16T20:09:03.465536
Julio Rodríguez,SEA,Singles,1.5,MLB,OF,2025-06-16T20:09:03.465538
Julio Rodríguez,SEA,Total Bases,3.5,MLB,OF,2025-06-16T20:09:03.465540
Julio Rodríguez,SEA,Total Bases,2.5,MLB,OF,2025-06-16T20:09:03.465541
Julio Rodríguez,SEA,Hits+Runs+RBIs,3.5,MLB,OF,2025-06-16T20:09:03.465543
Julio Rodríguez,SEA,Doubles,0.5,MLB,OF,2025-06-16T20:09:03.465544
Julio Rodríguez,SEA,Walks,0.5,MLB,OF,2025-06-16T20:09:03.465546
Julio Rodríguez,SEA,Hits+Runs+RBIs,0.5,MLB,OF,2025-06-16T20:09:03.465548
Julio Rodríguez,SEA,Hits,0.5,MLB,OF,2025-06-16T20:09:03.465549
Julio Rodríguez,SEA,RBIs,0.5,MLB,OF,2025-06-16T20:09:03.465551
Julio Rodríguez,SEA,Hits,1.5,MLB,OF,2025-06-16T20:09:03.465552
Julio Rodríguez,SEA,Stolen Bases,0.5,MLB,OF,2025-06-16T20:09:03.465554
Julio Rodríguez,SEA,Hits+Runs+RBIs,4.5,MLB,OF,2025-06-16T20:09:03.465555
Julio Rodríguez,SEA,Home Runs,0.5,MLB,OF,2025-06-16T20:09:03.465557
George Kirby,SEA,Hits Allowed,5.5,MLB,P,2025-06-16T20:09:03.465558
George Kirby,SEA,Pitcher Strikeouts,4.5,MLB,P,2025-06-16T20:09:03.465560
George Kirby,SEA,Pitcher Strikeouts,8.5,MLB,P,2025-06-16T20:09:03.465562
George Kirby,SEA,Pitcher Strikeouts,6.5,MLB,P,2025-06-16T20:09:03.465563
George Kirby,SEA,Pitcher Strikeouts,7.5,MLB,P,2025-06-16T20:09:03.465565
George Kirby,SEA,Earned Runs Allowed,1.5,MLB,P,2025-06-16T20:09:03.465567
George Kirby,SEA,Walks Allowed,0.5,MLB,P,2025-06-16T20:09:03.465568
J.P. Crawford,SEA,Total Bases,3.5,MLB,IF,2025-06-16T20:09:03.465570
J.P. Crawford,SEA,Home Runs,0.5,MLB,IF,2025-06-16T20:09:03.465571
J.P. Crawford,SEA,Hits+Runs+RBIs,2.5,MLB,IF,2025-06-16T20:09:03.465573
J.P. Crawford,SEA,Total Bases,0.5,MLB,IF,2025-06-16T20:09:03.465574
J.P. Crawford,SEA,Total Bases,2.5,MLB,IF,2025-06-16T20:09:03.465576
J.P. Crawford,SEA,Hits,0.5,MLB,IF,2025-06-16T20:09:03.465578
J.P. Crawford,SEA,Total Bases,1.5,MLB,IF,2025-06-16T20:09:03.465579
J.P. Crawford,SEA,Walks,0.5,MLB,IF,2025-06-16T20:09:03.465582
J.P. Crawford,SEA,Hits,1.5,MLB,IF,2025-06-16T20:09:03.465583
J.P. Crawford,SEA,Singles,1.5,MLB,IF,2025-06-16T20:09:03.465584
J.P. Crawford,SEA,Doubles,0.5,MLB,IF,2025-06-16T20:09:03.465586
J.P. Crawford,SEA,Hits+Runs+RBIs,3.5,MLB,IF,2025-06-16T20:09:03.465588
J.P. Crawford,SEA,RBIs,0.5,MLB,IF,2025-06-16T20:09:03.465589
J.P. Crawford,SEA,Hitter Strikeouts,0.5,MLB,IF,2025-06-16T20:09:03.465591
J.P. Crawford,SEA,Hitter Strikeouts,1.5,MLB,IF,2025-06-16T20:09:03.465593
J.P. Crawford,SEA,Runs,0.5,MLB,IF,2025-06-16T20:09:03.465594
J.P. Crawford,SEA,Runs,1.5,MLB,IF,2025-06-16T20:09:03.465596
J.P. Crawford,SEA,Hits+Runs+RBIs,0.5,MLB,IF,2025-06-16T20:09:03.465597
Cal Raleigh,SEA,Hits+Runs+RBIs,3.5,MLB,C,2025-06-16T20:09:03.465599
Cal Raleigh,SEA,Total Bases,2.5,MLB,C,2025-06-16T20:09:03.465600
Cal Raleigh,SEA,Hits,1.5,MLB,C,2025-06-16T20:09:03.465602
Cal Raleigh,SEA,Hitter Strikeouts,0.5,MLB,C,2025-06-16T20:09:03.465603
Cal Raleigh,SEA,RBIs,1.5,MLB,C,2025-06-16T20:09:03.465605
Cal Raleigh,SEA,Total Bases,3.5,MLB,C,2025-06-16T20:09:03.465607
Cal Raleigh,SEA,RBIs,0.5,MLB,C,2025-06-16T20:09:03.465609
