PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WNBA_FANTASY_PTS
1628932,A'ja Wilson,LVA,2024-05-14,LVA vs. PHO,W,34.651666666666664,30,13,5,1,3,1,2,9,56.0
1628932,A'ja Wilson,LVA,2024-05-18,LVA vs. LAS,W,31.865,22,10,1,3,2,2,3,9,44.0
1628932,A'ja Wilson,LVA,2024-05-21,LVA vs. PHO,L,32.36666666666667,21,13,2,0,3,1,2,-11,42.0
1628932,A'ja Wilson,LVA,2024-05-25,LVA vs. IND,W,30.73333333333333,29,15,2,1,1,0,1,22,51.0
1628932,A'ja Wilson,LVA,2024-05-29,LVA @ MIN,W,31.98333333333333,29,15,3,2,4,2,2,11,59.0
1628932,A'ja Wilson,LVA,2024-05-31,LVA @ ATL,L,35.2,28,9,3,1,4,1,2,-12,50.0
1628932,A'ja Wilson,LVA,2024-06-05,LVA @ DAL,W,33.556666666666665,36,12,2,6,1,3,1,14,65.0
1628932,A'ja Wilson,LVA,2024-06-07,LVA vs. SEA,L,36.0,29,11,0,1,3,3,2,-14,48.0
1628932,A'ja Wilson,LVA,2024-06-09,LVA @ LAS,L,37.21666666666667,31,8,5,2,6,1,2,2,62.0
1628932,A'ja Wilson,LVA,2024-06-11,LVA vs. MIN,L,32.96,28,8,3,2,0,1,3,-6,44.0
1628932,A'ja Wilson,LVA,2024-06-13,LVA @ PHO,W,34.31666666666667,32,15,2,1,2,3,3,3,56.0
1628932,A'ja Wilson,LVA,2024-06-15,LVA vs. NYL,L,35.766666666666666,21,9,3,0,1,2,4,-19,35.0
1628932,A'ja Wilson,LVA,2024-06-19,LVA vs. SEA,W,32.446666666666665,27,9,3,4,2,0,2,13,51.0
1628932,A'ja Wilson,LVA,2024-06-21,LVA vs. CON,W,34.25,26,16,1,2,2,3,1,14,51.0
1628932,A'ja Wilson,LVA,2024-06-27,LVA @ CHI,W,33.733333333333334,31,6,3,2,2,3,2,1,49.0
1628932,A'ja Wilson,LVA,2024-06-29,LVA @ WAS,W,32.4,11,9,5,2,1,1,3,1,31.0
1628932,A'ja Wilson,LVA,2024-07-02,LVA vs. IND,W,36.16666666666666,28,9,1,2,5,0,2,14,52.0
1628932,A'ja Wilson,LVA,2024-07-04,LVA vs. WAS,W,26.216666666666665,18,9,4,3,3,2,3,27,43.0
1628932,A'ja Wilson,LVA,2024-07-05,LVA @ LAS,L,41.46666666666667,35,12,3,0,6,2,5,-5,62.0
1628932,A'ja Wilson,LVA,2024-07-07,LVA vs. DAL,W,31.191666666666663,28,10,2,1,2,2,0,26,49.0
1628932,A'ja Wilson,LVA,2024-07-10,LVA @ SEA,W,35.13333333333333,24,20,2,3,4,0,0,-2,60.0
