A,https://www.basketball-reference.com/wnba/players/a/,nan,No table found or empty stats.
Seimone Augustus,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w,No table found or empty stats.
Ariel Atkins,https://www.basketball-reference.com/wnba/players/a/atkinar01w.html,atkinar01w,No table found or empty stats.
Svetlana Abrosimova,https://www.basketball-reference.com/wnba/players/a/abrossv01w.html,abrossv01w,No table found or empty stats.
Janeth Arcain,https://www.basketball-reference.com/wnba/players/a/arcaija01w.html,arcaija01w,No table found or empty stats.
Matee Ajavon,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w,No table found or empty stats.
Danielle Adams,https://www.basketball-reference.com/wnba/players/a/adamsda01w.html,adamsda01w,No table found or empty stats.
B,https://www.basketball-reference.com/wnba/players/b/,nan,No table found or empty stats.
DeWanna Bonner,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,bonnede01w,No table found or empty stats.
Sue Bird,https://www.basketball-reference.com/wnba/players/b/birdsu01w.html,birdsu01w,No table found or empty stats.
Rebekkah Brunson,https://www.basketball-reference.com/wnba/players/b/brunsre01w.html,brunsre01w,No table found or empty stats.
Alana Beard,https://www.basketball-reference.com/wnba/players/b/beardal01w.html,beardal01w,No table found or empty stats.
Kara Braxton,https://www.basketball-reference.com/wnba/players/b/braxtka01w.html,braxtka01w,No table found or empty stats.
Jessica Breland,https://www.basketball-reference.com/wnba/players/b/brelaje01w.html,brelaje01w,No table found or empty stats.
C,https://www.basketball-reference.com/wnba/players/c/,nan,No table found or empty stats.
Tina Charles,https://www.basketball-reference.com/wnba/players/c/charlti01w.html,charlti01w,No table found or empty stats.
Tamika Catchings,https://www.basketball-reference.com/wnba/players/c/catchta01w.html,catchta01w,No table found or empty stats.
Swin Cash,https://www.basketball-reference.com/wnba/players/c/cashsw01w.html,cashsw01w,No table found or empty stats.
Monique Currie,https://www.basketball-reference.com/wnba/players/c/currimo01w.html,currimo01w,No table found or empty stats.
Kahleah Copper,https://www.basketball-reference.com/wnba/players/c/coppeka01w.html,coppeka01w,No table found or empty stats.
Natasha Cloud,https://www.basketball-reference.com/wnba/players/c/cloudna01w.html,cloudna01w,No table found or empty stats.
D,https://www.basketball-reference.com/wnba/players/d/,nan,No table found or empty stats.
Candice Dupree,https://www.basketball-reference.com/wnba/players/d/dupreca01w.html,dupreca01w,No table found or empty stats.
Katie Douglas,https://www.basketball-reference.com/wnba/players/d/douglka01w.html,douglka01w,No table found or empty stats.
Skylar Diggins-Smith,https://www.basketball-reference.com/wnba/players/d/diggisk01w.html,diggisk01w,No table found or empty stats.
Elena Delle Donne,https://www.basketball-reference.com/wnba/players/d/delleel01w.html,delleel01w,No table found or empty stats.
Margo Dydek,https://www.basketball-reference.com/wnba/players/d/dydekma01w.html,dydekma01w,No table found or empty stats.
Erika de Souza,https://www.basketball-reference.com/wnba/players/d/desouer01w.html,desouer01w,No table found or empty stats.
E,https://www.basketball-reference.com/wnba/players/e/,nan,No table found or empty stats.
Simone Edwards,https://www.basketball-reference.com/wnba/players/e/edwarsi01w.html,edwarsi01w,No table found or empty stats.
Tonya Edwards,https://www.basketball-reference.com/wnba/players/e/edwarto01w.html,edwarto01w,No table found or empty stats.
Shalonda Enis,https://www.basketball-reference.com/wnba/players/e/enissh01w.html,enissh01w,No table found or empty stats.
Dana Evans,https://www.basketball-reference.com/wnba/players/e/evansda02w.html,evansda02w,No table found or empty stats.
Michelle Edwards,https://www.basketball-reference.com/wnba/players/e/edwarmi01w.html,edwarmi01w,No table found or empty stats.
Shyra Ely-Gash,https://www.basketball-reference.com/wnba/players/e/elysh01w.html,elysh01w,No table found or empty stats.
F,https://www.basketball-reference.com/wnba/players/f/,nan,No table found or empty stats.
Sylvia Fowles,https://www.basketball-reference.com/wnba/players/f/fowlesy01w.html,fowlesy01w,No table found or empty stats.
Marie Ferdinand-Harris,https://www.basketball-reference.com/wnba/players/f/ferdima01w.html,ferdima01w,No table found or empty stats.
Cheryl Ford,https://www.basketball-reference.com/wnba/players/f/fordch01w.html,fordch01w,No table found or empty stats.
Allison Feaster,https://www.basketball-reference.com/wnba/players/f/feastal01w.html,feastal01w,No table found or empty stats.
Barbara Farris,https://www.basketball-reference.com/wnba/players/f/farriba01w.html,farriba01w,No table found or empty stats.
