Name,URL,ID
A,https://www.basketball-reference.com/wnba/players/a/,
Seimone Augustus,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w
Ariel Atkins,https://www.basketball-reference.com/wnba/players/a/atkinar01w.html,atkinar01w
Svetlana Abrosimova,https://www.basketball-reference.com/wnba/players/a/abrossv01w.html,abrossv01w
Janeth Arcain,https://www.basketball-reference.com/wnba/players/a/arcaija01w.html,arcaija01w
Matee Ajavon,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w
Danielle Adams,https://www.basketball-reference.com/wnba/players/a/adamsda01w.html,adamsda01w
B,https://www.basketball-reference.com/wnba/players/b/,
DeWanna Bonner,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,bonnede01w
Sue Bird,https://www.basketball-reference.com/wnba/players/b/birdsu01w.html,birdsu01w
Rebekkah Brunson,https://www.basketball-reference.com/wnba/players/b/brunsre01w.html,brunsre01w
Alana Beard,https://www.basketball-reference.com/wnba/players/b/beardal01w.html,beardal01w
Kara Braxton,https://www.basketball-reference.com/wnba/players/b/braxtka01w.html,braxtka01w
Jessica Breland,https://www.basketball-reference.com/wnba/players/b/brelaje01w.html,brelaje01w
C,https://www.basketball-reference.com/wnba/players/c/,
Tina Charles,https://www.basketball-reference.com/wnba/players/c/charlti01w.html,charlti01w
Tamika Catchings,https://www.basketball-reference.com/wnba/players/c/catchta01w.html,catchta01w
Swin Cash,https://www.basketball-reference.com/wnba/players/c/cashsw01w.html,cashsw01w
Monique Currie,https://www.basketball-reference.com/wnba/players/c/currimo01w.html,currimo01w
Kahleah Copper,https://www.basketball-reference.com/wnba/players/c/coppeka01w.html,coppeka01w
Natasha Cloud,https://www.basketball-reference.com/wnba/players/c/cloudna01w.html,cloudna01w
D,https://www.basketball-reference.com/wnba/players/d/,
Candice Dupree,https://www.basketball-reference.com/wnba/players/d/dupreca01w.html,dupreca01w
Katie Douglas,https://www.basketball-reference.com/wnba/players/d/douglka01w.html,douglka01w
Skylar Diggins-Smith,https://www.basketball-reference.com/wnba/players/d/diggisk01w.html,diggisk01w
Elena Delle Donne,https://www.basketball-reference.com/wnba/players/d/delleel01w.html,delleel01w
Margo Dydek,https://www.basketball-reference.com/wnba/players/d/dydekma01w.html,dydekma01w
Erika de Souza,https://www.basketball-reference.com/wnba/players/d/desouer01w.html,desouer01w
E,https://www.basketball-reference.com/wnba/players/e/,
Simone Edwards,https://www.basketball-reference.com/wnba/players/e/edwarsi01w.html,edwarsi01w
Tonya Edwards,https://www.basketball-reference.com/wnba/players/e/edwarto01w.html,edwarto01w
Shalonda Enis,https://www.basketball-reference.com/wnba/players/e/enissh01w.html,enissh01w
Dana Evans,https://www.basketball-reference.com/wnba/players/e/evansda02w.html,evansda02w
Michelle Edwards,https://www.basketball-reference.com/wnba/players/e/edwarmi01w.html,edwarmi01w
Shyra Ely-Gash,https://www.basketball-reference.com/wnba/players/e/elysh01w.html,elysh01w
F,https://www.basketball-reference.com/wnba/players/f/,
Sylvia Fowles,https://www.basketball-reference.com/wnba/players/f/fowlesy01w.html,fowlesy01w
Marie Ferdinand-Harris,https://www.basketball-reference.com/wnba/players/f/ferdima01w.html,ferdima01w
Cheryl Ford,https://www.basketball-reference.com/wnba/players/f/fordch01w.html,fordch01w
Allison Feaster,https://www.basketball-reference.com/wnba/players/f/feastal01w.html,feastal01w
Barbara Farris,https://www.basketball-reference.com/wnba/players/f/farriba01w.html,farriba01w
Ukari Figgs,https://www.basketball-reference.com/wnba/players/f/figgsuk01w.html,figgsuk01w
G,https://www.basketball-reference.com/wnba/players/g/,
Brittney Griner,https://www.basketball-reference.com/wnba/players/g/grinebr01w.html,grinebr01w
Yolanda Griffith,https://www.basketball-reference.com/wnba/players/g/griffyo01w.html,griffyo01w
Chelsea Gray,https://www.basketball-reference.com/wnba/players/g/graych01w.html,graych01w
Allisha Gray,https://www.basketball-reference.com/wnba/players/g/grayal01w.html,grayal01w
Adrienne Goodson,https://www.basketball-reference.com/wnba/players/g/goodsad01w.html,goodsad01w
Jennifer Gillom,https://www.basketball-reference.com/wnba/players/g/gilloje01w.html,gilloje01w
H,https://www.basketball-reference.com/wnba/players/h/,
Becky Hammon,https://www.basketball-reference.com/wnba/players/h/hammobe01w.html,hammobe01w
Chamique Holdsclaw,https://www.basketball-reference.com/wnba/players/h/holdsch01w.html,holdsch01w
Tiffany Hayes,https://www.basketball-reference.com/wnba/players/h/hayesti01w.html,hayesti01w
Natasha Howard,https://www.basketball-reference.com/wnba/players/h/howarna01w.html,howarna01w
Dearica Hamby,https://www.basketball-reference.com/wnba/players/h/hambyde01w.html,hambyde01w
Lindsey Harding,https://www.basketball-reference.com/wnba/players/h/hardili01w.html,hardili01w
I,https://www.basketball-reference.com/wnba/players/i/,
Sabrina Ionescu,https://www.basketball-reference.com/wnba/players/i/ionessa01w.html,ionessa01w
Niele Ivey,https://www.basketball-reference.com/wnba/players/i/iveyni01w.html,iveyni01w
Dalma Ivanyi,https://www.basketball-reference.com/wnba/players/i/ivanyda01w.html,ivanyda01w
Sandora Irvin,https://www.basketball-reference.com/wnba/players/i/irvinsa01w.html,irvinsa01w
Kiki Iriafen,https://www.basketball-reference.com/wnba/players/i/iriafki01w.html,iriafki01w
Ify Ibekwe,https://www.basketball-reference.com/wnba/players/i/ibekwif01w.html,ibekwif01w
J,https://www.basketball-reference.com/wnba/players/j/,
Lauren Jackson,https://www.basketball-reference.com/wnba/players/j/jacksla01w.html,jacksla01w
Vickie Johnson,https://www.basketball-reference.com/wnba/players/j/johnsvi01w.html,johnsvi01w
Jonquel Jones,https://www.basketball-reference.com/wnba/players/j/jonesjo01w.html,jonesjo01w
Asjha Jones,https://www.basketball-reference.com/wnba/players/j/jonesas01w.html,jonesas01w
Shannon Johnson,https://www.basketball-reference.com/wnba/players/j/johnssh01w.html,johnssh01w
Briann January,https://www.basketball-reference.com/wnba/players/j/januabr01w.html,januabr01w
K,https://www.basketball-reference.com/wnba/players/k/,
Cathrine Kraayeveld,https://www.basketball-reference.com/wnba/players/k/kraayca01w.html,kraayca01w
Lynetta Kizer,https://www.basketball-reference.com/wnba/players/k/kizerly01w.html,kizerly01w
Crystal Kelly,https://www.basketball-reference.com/wnba/players/k/kellycr01w.html,kellycr01w
Awak Kuier,https://www.basketball-reference.com/wnba/players/k/kuieraw01w.html,kuieraw01w
Laurie Koehn,https://www.basketball-reference.com/wnba/players/k/koehnla01w.html,koehnla01w
Jae Kingi-Cross,https://www.basketball-reference.com/wnba/players/k/kingija01w.html,kingija01w
L,https://www.basketball-reference.com/wnba/players/l/,
Lisa Leslie,https://www.basketball-reference.com/wnba/players/l/leslili01w.html,leslili01w
Jewell Loyd,https://www.basketball-reference.com/wnba/players/l/loydje01w.html,loydje01w
Crystal Langhorne,https://www.basketball-reference.com/wnba/players/l/langhcr01w.html,langhcr01w
Sancho Lyttle,https://www.basketball-reference.com/wnba/players/l/lyttlsa01w.html,lyttlsa01w
Betty Lennox,https://www.basketball-reference.com/wnba/players/l/lennobe01w.html,lennobe01w
Kara Lawson,https://www.basketball-reference.com/wnba/players/l/lawsoka01w.html,lawsoka01w
M,https://www.basketball-reference.com/wnba/players/m/,
DeLisha Milton-Jones,https://www.basketball-reference.com/wnba/players/m/miltode01w.html,miltode01w
Taj McWilliams-Franklin,https://www.basketball-reference.com/wnba/players/m/mcwilta01w.html,mcwilta01w
Angel McCoughtry,https://www.basketball-reference.com/wnba/players/m/mccouan01w.html,mccouan01w
Maya Moore,https://www.basketball-reference.com/wnba/players/m/moorema01w.html,moorema01w
Kayla McBride,https://www.basketball-reference.com/wnba/players/m/mcbrika01w.html,mcbrika01w
Chasity Melvin,https://www.basketball-reference.com/wnba/players/m/melvich01w.html,melvich01w
N,https://www.basketball-reference.com/wnba/players/n/,
Deanna Nolan,https://www.basketball-reference.com/wnba/players/n/nolande01w.html,nolande01w
Kia Nurse,https://www.basketball-reference.com/wnba/players/n/nurseki01w.html,nurseki01w
Astou Ndiaye-Diatta,https://www.basketball-reference.com/wnba/players/n/ndiayas01w.html,ndiayas01w
Eva Nemcova,https://www.basketball-reference.com/wnba/players/n/nemcoev01w.html,nemcoev01w
Chelsea Newton,https://www.basketball-reference.com/wnba/players/n/newtoch01w.html,newtoch01w
Astou Ndour-Fall,https://www.basketball-reference.com/wnba/players/n/ndouras01w.html,ndouras01w
O,https://www.basketball-reference.com/wnba/players/o/,
Nneka Ogwumike,https://www.basketball-reference.com/wnba/players/o/ogwumnn01w.html,ogwumnn01w
