player_name,stat_type,line,predicted_value,confidence_score,volatility_score,recommendation,bbref_id,timestamp,line_diff,abs_diff,trap_type,trap_probability,detection_method,line_intent,action_required,reason,extracted_date,cycle_phase,cycle_risk_tag,perf_trend,corrected_risk_tag,adv_phase,adv_risk_tag,adv_modifier,adv_confidence,adjusted_prediction,actual_result
Caitlin Clark,Rebounds,5.5,5.5,0.0,0.5,EXCELLENT,clarkca01w,2025-06-17T11:02:51.479748,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,5.2,6.4
Aliyah Boston,Pts+Rebs,21.5,21.5,0.0,0.5,EXCELLENT,bostoal01w,2025-06-17T11:02:51.592987,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,22.6,22.3
Tina Charles,Rebounds,5.5,5.5,0.0,0.5,EXCELLENT,charlti01w,2025-06-17T11:02:51.634115,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,5.8,7.4
Rhyne Howard,Rebounds,5.5,5.5,0.0,0.5,EXCELLENT,howarrh01w,2025-06-17T11:02:51.708783,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,5.8,9.6
Breanna Stewart,Assists,3.5,3.5,0.0,0.5,EXCELLENT,stewabr01w,2025-06-17T11:02:51.854598,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,3.6,3.0
Sabrina Ionescu,Points,19.5,19.5,0.0,0.5,EXCELLENT,ionessa01w,2025-06-17T11:02:51.888498,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,19.9,19.3
Jonquel Jones,3-PT Made,1.5,1.5,0.0,0.5,EXCELLENT,jonesjo01w,2025-06-17T11:02:51.952334,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,luteal,NEUTRAL,1.0,TARGET_LUTEAL,follicular,NEUTRAL,1.013,0.5,1.5,5.4
Arike Ogunbowale,Points,17.5,17.5,0.0,0.5,EXCELLENT,ogunbar01w,2025-06-17T11:02:52.403166,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.016,0.5,17.8,19.7
Paige Bueckers,Rebounds,4.5,4.5,0.0,0.5,EXCELLENT,bueckpa01w,2025-06-17T11:02:52.469057,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,4.7,3.5
DiJonai Carrington,Pts+Rebs,18.5,18.5,0.0,0.5,EXCELLENT,carridi01w,2025-06-17T11:02:52.484029,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,17.6,19.0
Veronica Burton,Rebs+Asts,9.5,9.5,0.0,0.5,EXCELLENT,burtove01w,2025-06-17T11:02:52.553669,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,9.7,8.5
Brittney Sykes,Assists,4.5,4.5,0.0,0.5,EXCELLENT,sykesbr01w,2025-06-17T11:02:52.616149,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,4.3,3.1
Angel Reese,Assists,3.5,3.5,0.0,0.5,EXCELLENT,reesean01w,2025-06-17T11:02:52.649908,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,3.6,4.2
Ariel Atkins,3-PT Made,1.5,1.5,0.0,0.5,EXCELLENT,atkinar01w,2025-06-17T11:02:52.689683,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,1.6,0.0
Nneka Ogwumike,Points,16.0,16.0,0.0,0.5,EXCELLENT,ogwumnn01w,2025-06-17T11:02:53.002942,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,STRONG_TARGET_LUTEAL,1.05,0.75,16.8,12.5
Aliyah Boston,Rebounds,7.5,7.6,0.0,0.5,EXCELLENT,bostoal01w,2025-06-17T11:02:51.586763,-0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,8.0,6.6
Aliyah Boston,Assists,4.0,4.1,0.0,0.5,EXCELLENT,bostoal01w,2025-06-17T11:02:51.606040,-0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,4.3,1.8
Rhyne Howard,Assists,4.5,4.6,0.0,0.5,EXCELLENT,howarrh01w,2025-06-17T11:02:51.683993,-0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,luteal,TARGET_LUTEAL,1.05,0.65,4.8,5.6
Breanna Stewart,Rebounds,5.5,5.4,0.0,0.5,EXCELLENT,stewabr01w,2025-06-17T11:02:51.845315,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,5.5,3.2
Sabrina Ionescu,Assists,5.0,5.1,0.0,0.5,EXCELLENT,ionessa01w,2025-06-17T11:02:51.880163,-0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,TARGET_LATE_FOLLICULAR,1.02,0.65,5.2,1.7
Jonquel Jones,Points,12.5,12.4,0.0,0.5,EXCELLENT,jonesjo01w,2025-06-17T11:02:51.987503,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,luteal,NEUTRAL,1.0,TARGET_LUTEAL,follicular,NEUTRAL,1.013,0.5,12.6,16.3
Jonquel Jones,Rebounds,9.5,9.4,0.0,0.5,EXCELLENT,jonesjo01w,2025-06-17T11:02:51.991510,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,luteal,NEUTRAL,1.0,TARGET_LUTEAL,follicular,NEUTRAL,1.013,0.5,9.5,8.9
Courtney Williams,Rebs+Asts,10.0,10.1,0.0,0.5,EXCELLENT,willico01w,2025-06-17T11:02:52.305445,-0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,10.3,10.5
Courtney Williams,Rebounds,4.5,4.4,0.0,0.5,EXCELLENT,willico01w,2025-06-17T11:02:52.323565,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,4.5,0.9
Kayla Thornton,Rebounds,7.5,7.4,0.0,0.5,EXCELLENT,thornka01w,2025-06-17T11:02:52.495203,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,7.5,6.1
Kayla Thornton,Points,14.5,14.4,0.0,0.5,EXCELLENT,thornka01w,2025-06-17T11:02:52.500183,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,14.7,15.0
Veronica Burton,Assists,5.5,5.4,0.0,0.5,EXCELLENT,burtove01w,2025-06-17T11:02:52.563756,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,follicular,NEUTRAL,1.02,0.5,5.5,2.6
Brittney Sykes,Rebs+Asts,9.0,8.9,0.0,0.5,EXCELLENT,sykesbr01w,2025-06-17T11:02:52.584171,0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL,menstrual,NEUTRAL,0.95,0.5,8.5,9.4
