projection_id,player_id,game_id,team_x,stat_type,line_score,start_time,updated_at,status,odds_type,is_live,is_promo,name,team_y,sport
5214040,nan,NHL_game_YnEcFPlIW8yI3W15qQoHj27u,,Goalie Saves,24.5,2025-06-03T22:30:00-04:00,2025-06-03T19:00:16-04:00,pre_game,standard,False,True,,,
5202235,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,13.5,2025-06-03T21:30:00-04:00,2025-06-03T17:27:07-04:00,pre_game,standard,False,False,,,
5204974,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,5.5,2025-06-03T21:30:00-04:00,2025-06-03T13:19:21-04:00,pre_game,demon,False,False,,,
5204973,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,3-PT Made,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:02-04:00,pre_game,demon,False,False,,,
5202909,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,3-PT Made,2.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:01-04:00,pre_game,demon,False,False,,,
5202239,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,4.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:29-04:00,pre_game,demon,False,False,,,
5203022,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,29.5,2025-06-03T21:30:00-04:00,2025-06-03T12:38:26-04:00,pre_game,demon,False,False,,,
5203021,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,19.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:45-04:00,pre_game,demon,False,False,,,
5202914,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,5.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,demon,False,False,,,
5202913,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,19.5,2025-06-03T21:30:00-04:00,2025-06-03T11:47:14-04:00,pre_game,goblin,False,False,,,
5203023,nan,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,7.5,2025-06-03T21:30:00-04:00,2025-06-03T12:41:25-04:00,pre_game,demon,False,False,,,
