name,BBRefID,team,last_season
A'ja Wilson,wilsoaj01w,LV,2025
Aaliyah Edwards,edwaraa01w,WSH,2025
Aaliyah Nye,nyeeeaa01w,LV,2025
Aari McDonald,mcdonaa01w,IND,2025
Aerial Powers,powerae01w,GS,2025
Alanna Smith,smithal01w,MIN,2025
Alexis Prince,princal01w,PHX,2025
Alissa Pili,piliial01w,MIN,2025
Aliyah Boston,bostoal01w,IND,2025
Allisha Gray,grayyal01w,ATL,2025
Alysha Clark,clarkal01w,SEA,2025
Alyssa Thomas,thomaal01w,PHX,2025
Amy Atwell,atwelam01w,PHO,2025
Anastasiia Olairi Kosu,kosuuan01w,MIN,2025
Aneesah Morrow,morroan01w,CONN,2025
Angel Reese,reesean01w,CHI,2025
Ariel Atkins,atkinar01w,CHI,2025
Arike Ogunbowale,ogunbar01w,DAL,2025
Astou Ndour-Fall,ndouras01w,CON,2025
Aziaha James,jamesaz01w,DAL,2025
Azura Stevens,steveaz01w,LA,2025
Azurá Stevens,steveaz01w,LAS,2025
Betnijah Laney-Hamilton,laneybe01w,NYL,2025
Breanna Stewart,stewabr01w,NY,2025
Bria Hartley,hartlbr01w,CONN,2025
Brianna Turner,turnebr01w,IND,2025
Bridget Carleton,carlebr01w,MIN,2025
Brionna Jones,jonesbr01w,ATL,2025
Brittney Griner,grinebr01w,ATL,2025
Brittney Sykes,sykesbr01w,WSH,2025
Caitlin Bickle,bicklca01w,CON,2025
Caitlin Clark,clarkca01w,IND,2025
Cameron Brink,brinkca01w,LAS,2025
Carla Leite,leiteca01w,GS,2025
Cecilia Zandalasini,zandace01w,GS,2025
Celeste Taylor,tayloce01w,IND,2025
Charisma Osborne,osborch01w,PHO,2025
Chelsea Gray,grayych01w,LV,2025
Chennedy Carter,cartech01w,CHI,2025
Cheyenne Parker-Tyus,parkech01w,LV,2025
Courtney Vandersloot,vandeco01w,CHI,2025
Courtney Williams,willico01w,MIN,2025
Crystal Bradford,bradfcr01w,LV,2025
Crystal Dangerfield,dangecr01w,ATL,2025
Damiris Dantas,dantada01w,IND,2025
Dana Evans,evansda01w,LV,2025
DeWanna Bonner,bonnede01w,IND,2025
Dearica Hamby,hambyde01w,LA,2025
Destanni Henderson,hendede01w,ATL,2025
DiDi Richards,richadi01w,WAS,2025
DiJonai Carrington,carridi01w,DAL,2025
Diamond DeShields,deshidi01w,CHI,2025
