player_id,name,team,sport
64355,Gabby Williams,SEA,
237859,Skylar Diggins,SEA,
240007,Sami Whitcomb,PHX,
141661,Brittney Sykes,WAS,
237839,Kayla McBride,MIN,
237860,Nneka Ogwumike,SEA,
237835,Arike Ogunbowale,DAL,
238169,Kiki Iriafen,WAS,
240019,Monique Akoa Makani,PHX,
64394,Ezi Magbegor,SEA,
237838,Napheesa Collier,MIN,
238241,Sonia Citron,WAS,
238579,Myisha Hines-Allen,DAL,
237862,Satou Sabally,PHX,
198928,Maddy Siegrist,DAL,
237852,Kelsey Mitchell,IND,
237979,Alanna Smith,MIN,
237983,DiJonai Carrington,DAL,
237854,Natasha Howard,IND,
237978,Courtney Williams,MIN,
237991,Bridget Carleton,MIN,
237984,NaLyssa Smith,DAL,
240195,Skylar Diggins + Arike Ogunbowale,SEA/DAL,
237853,Aliyah Boston,IND,
