slip_id,player,team,prop_type,line,projection,pick,over_odds,under_odds,start_time,game_id,home_team,away_team,source,fetched_at,projection_id,flash_sale,is_promo
PP_5597088_20250707,Javier Báez,DET,RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877428,5597088,False,False
PP_5597087_20250707,Javier Báez,DET,RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877440,5597087,False,False
PP_5599468_20250707,Javier Báez,DET,Hits+Runs+RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877446,5599468,False,False
PP_5598471_20250707,Javier Báez,DET,Doubles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877457,5598471,False,False
PP_5599466_20250707,Javier Báez,DET,Hits+Runs+RBIs,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877461,5599466,False,False
PP_5597090_20250707,Javier Báez,DET,Total Bases,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877465,5597090,False,False
PP_5597089_20250707,Javier Báez,DET,Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877469,5597089,False,False
PP_5597086_20250707,Javier Báez,DET,Home Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877472,5597086,False,False
PP_5599467_20250707,Javier Báez,DET,Hits+Runs+RBIs,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877476,5599467,False,False
PP_5597091_20250707,Javier Báez,DET,Total Bases,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877480,5597091,False,False
PP_5599452_20250707,Javier Báez,DET,Singles,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877484,5599452,False,False
PP_5597084_20250707,Javier Báez,DET,Hits,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877487,5597084,False,False
PP_5599902_20250707,Javier Báez,DET,Stolen Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877491,5599902,False,False
PP_5597085_20250707,Javier Báez,DET,Hits,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877495,5597085,False,False
PP_5599453_20250707,Javier Báez,DET,Total Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877499,5599453,False,False
PP_5598472_20250707,Javier Báez,DET,Singles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877503,5598472,False,False
PP_5593909_20250707,Yandy Díaz,TB,RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877506,5593909,False,False
PP_5595756_20250707,Yandy Díaz,TB,Hits+Runs+RBIs,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877510,5595756,False,False
PP_5593910_20250707,Yandy Díaz,TB,Total Bases,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877513,5593910,False,False
PP_5593908_20250707,Yandy Díaz,TB,Home Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877518,5593908,False,False
PP_5596004_20250707,Yandy Díaz,TB,Singles,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877522,5596004,False,False
PP_5596003_20250707,Yandy Díaz,TB,Hits+Runs+RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877525,5596003,False,False
PP_5595630_20250707,Yandy Díaz,TB,Doubles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877529,5595630,False,False
PP_5595637_20250707,Yandy Díaz,TB,Singles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877532,5595637,False,False
PP_5595631_20250707,Yandy Díaz,TB,Hits+Runs+RBIs,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877535,5595631,False,False
PP_5595634_20250707,Yandy Díaz,TB,Hitter Strikeouts,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877539,5595634,False,False
PP_5595636_20250707,Yandy Díaz,TB,Runs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877543,5595636,False,False
PP_5595635_20250707,Yandy Díaz,TB,Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877546,5595635,False,False
PP_5595632_20250707,Yandy Díaz,TB,Hits+Runs+RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877549,5595632,False,False
PP_5595633_20250707,Yandy Díaz,TB,Hitter Strikeouts,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877553,5595633,False,False
PP_5595638_20250707,Yandy Díaz,TB,Walks,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877557,5595638,False,False
PP_5598751_20250707,Yandy Díaz,TB,Singles,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877561,5598751,False,False
PP_5595116_20250707,Yandy Díaz,TB,Hits,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877564,5595116,False,False
PP_5595118_20250707,Yandy Díaz,TB,RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877567,5595118,False,False
PP_5595119_20250707,Yandy Díaz,TB,Total Bases,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877571,5595119,False,False
PP_5595117_20250707,Yandy Díaz,TB,Hits,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877576,5595117,False,False
PP_5595120_20250707,Yandy Díaz,TB,Total Bases,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877579,5595120,False,False
PP_5593907_20250707,Yandy Díaz,TB,Hits,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877583,5593907,False,False
PP_5595121_20250707,Yandy Díaz,TB,Total Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877586,5595121,False,False
PP_5595755_20250707,Yandy Díaz,TB,Hits+Runs+RBIs,4.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877591,5595755,False,False
PP_5595594_20250707,Riley Greene,DET,Hits+Runs+RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877594,5595594,False,False
PP_5593354_20250707,Riley Greene,DET,RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877598,5593354,False,False
PP_5593150_20250707,Riley Greene,DET,RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877602,5593150,False,False
PP_5595751_20250707,Riley Greene,DET,Hits+Runs+RBIs,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877605,5595751,False,False
PP_5595100_20250707,Riley Greene,DET,Hits,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877608,5595100,False,False
PP_5593353_20250707,Riley Greene,DET,Home Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877612,5593353,False,False
PP_5595102_20250707,Riley Greene,DET,Total Bases,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877615,5595102,False,False
PP_5593355_20250707,Riley Greene,DET,Total Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877619,5593355,False,False
PP_5595994_20250707,Riley Greene,DET,Singles,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877622,5595994,False,False
PP_5595598_20250707,Riley Greene,DET,Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877626,5595598,False,False
PP_5595592_20250707,Riley Greene,DET,Hits+Runs+RBIs,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877629,5595592,False,False
