slip_id,player,team,prop_type,line,projection,pick,over_odds,under_odds,start_time,game_id,home_team,away_team,source,fetched_at,projection_id,flash_sale,is_promo
PP_5602386_20250708,Shakira Austin,WAS,Pts+Rebs,23.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224765,5602386,False,False
PP_5597515_20250708,Shakira Austin,WAS,Pts+Rebs,29.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224776,5597515,False,False
PP_5602315_20250708,Shakira Austin,WAS,Offensive Rebounds,2.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224791,5602315,False,False
PP_5597510_20250708,Shakira Austin,WAS,Points,9.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224813,5597510,False,False
PP_5597259_20250708,Shakira Austin,WAS,Rebounds,5.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224818,5597259,False,False
PP_5597511_20250708,Shakira Austin,WAS,Points,19.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224822,5597511,False,False
PP_5602319_20250708,Shakira Austin,WAS,Defensive Rebounds,5.0,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224826,5602319,False,False
PP_5597517_20250708,Shakira Austin,WAS,Pts+Rebs,22.0,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224830,5597517,False,False
PP_5598292_20250708,Shakira Austin,WAS,Points,15.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224836,5598292,False,False
PP_5597255_20250708,Shakira Austin,WAS,Rebounds,11.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224839,5597255,False,False
PP_5597258_20250708,Shakira Austin,WAS,Rebounds,7.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224843,5597258,False,False
PP_5597516_20250708,Shakira Austin,WAS,Pts+Rebs,24.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224846,5597516,False,False
PP_5597514_20250708,Shakira Austin,WAS,Pts+Rebs,19.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224850,5597514,False,False
PP_5597512_20250708,Shakira Austin,WAS,Points,17.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224854,5597512,False,False
PP_5597257_20250708,Shakira Austin,WAS,Rebounds,9.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224857,5597257,False,False
PP_5597260_20250708,Shakira Austin,WAS,Rebounds,6.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224860,5597260,False,False
PP_5597509_20250708,Shakira Austin,WAS,Points,11.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224864,5597509,False,False
PP_5597513_20250708,Shakira Austin,WAS,Points,14.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224867,5597513,False,False
PP_5597256_20250708,Shakira Austin,WAS,Rebounds,10.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224872,5597256,False,False
PP_5599791_20250708,Brittney Sykes,WAS,Pts+Rebs+Asts,34.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224875,5599791,False,False
PP_5597497_20250708,Brittney Sykes,WAS,Pts+Rebs+Asts,19.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224879,5597497,False,False
PP_5597248_20250708,Brittney Sykes,WAS,Rebounds,3.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224882,5597248,False,False
PP_5597499_20250708,Brittney Sykes,WAS,Pts+Rebs+Asts,25.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224885,5597499,False,False
PP_5600412_20250708,Brittney Sykes,WAS,Points,15.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224889,5600412,False,False
PP_5597498_20250708,Brittney Sykes,WAS,Pts+Rebs+Asts,29.5,,,-110,-110,2025-07-08T11:30:00-04:00,77564,,,prizepicks,2025-07-08T09:21:08.224892,5597498,False,False
