projection_id,player_id,game_id,team,stat_type,line_score,start_time,updated_at,status,odds_type,is_live,is_promo
5214040,,NHL_game_YnEcFPlIW8yI3W15qQoHj27u,,Goalie Saves,24.5,2025-06-03T22:30:00-04:00,2025-06-03T19:00:16-04:00,pre_game,standard,False,True
5202235,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,13.5,2025-06-03T21:30:00-04:00,2025-06-03T17:27:07-04:00,pre_game,standard,False,False
5204974,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,5.5,2025-06-03T21:30:00-04:00,2025-06-03T13:19:21-04:00,pre_game,demon,False,False
5204973,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,3-PT Made,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:02-04:00,pre_game,demon,False,False
5202909,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,3-PT Made,2.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:01-04:00,pre_game,demon,False,False
5202239,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,4.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:29-04:00,pre_game,demon,False,False
5203022,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,29.5,2025-06-03T21:30:00-04:00,2025-06-03T12:38:26-04:00,pre_game,demon,False,False
5203021,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,19.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:45-04:00,pre_game,demon,False,False
5202914,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,5.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,demon,False,False
5202913,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,19.5,2025-06-03T21:30:00-04:00,2025-06-03T11:47:14-04:00,pre_game,goblin,False,False
5203023,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,7.5,2025-06-03T21:30:00-04:00,2025-06-03T12:41:25-04:00,pre_game,demon,False,False
5202240,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebs+Asts,8.0,2025-06-03T21:30:00-04:00,2025-06-03T20:47:14-04:00,pre_game,standard,False,False
5211912,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,29.0,2025-06-03T21:30:00-04:00,2025-06-03T17:31:50-04:00,pre_game,standard,False,False
5202238,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,22.0,2025-06-03T21:30:00-04:00,2025-06-03T19:46:05-04:00,pre_game,standard,False,False
5202911,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,goblin,False,False
5202236,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Asts,17.5,2025-06-03T21:30:00-04:00,2025-06-03T19:53:58-04:00,pre_game,standard,False,False
5203020,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,11.5,2025-06-03T21:30:00-04:00,2025-06-02T12:58:57-04:00,pre_game,goblin,False,False
5202910,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,demon,False,False
5203331,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,4.0,2025-06-03T21:30:00-04:00,2025-06-03T11:41:32-04:00,pre_game,standard,False,False
5202237,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,17.5,2025-06-03T21:30:00-04:00,2025-06-03T19:59:15-04:00,pre_game,standard,False,False
5202915,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,goblin,False,False
5204975,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,2.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,goblin,False,False
5202912,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,24.5,2025-06-03T21:30:00-04:00,2025-06-03T11:47:14-04:00,pre_game,demon,False,False
5203303,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,2.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,goblin,False,False
5204972,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,12.5,2025-06-03T21:30:00-04:00,2025-06-03T09:47:00-04:00,pre_game,goblin,False,False
5203019,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,4.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:52-04:00,pre_game,demon,False,False
5204971,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,6.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,goblin,False,False
5211353,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,7.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:05-04:00,pre_game,goblin,False,False
5211352,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,11.5,2025-06-03T21:30:00-04:00,2025-06-03T12:29:04-04:00,pre_game,demon,False,False
5211917,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,20.0,2025-06-03T21:30:00-04:00,2025-06-03T18:45:07-04:00,pre_game,standard,False,False
5211913,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,25.5,2025-06-03T21:30:00-04:00,2025-06-03T19:38:08-04:00,pre_game,standard,False,False
5205272,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-03T13:34:50-04:00,pre_game,demon,False,False
5211356,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,18.0,2025-06-03T21:30:00-04:00,2025-06-03T18:44:54-04:00,pre_game,standard,False,False
5211155,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,8.0,2025-06-03T21:30:00-04:00,2025-06-03T11:41:32-04:00,pre_game,standard,False,False
5211903,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-03T19:39:57-04:00,pre_game,standard,False,False
5204968,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,11.5,2025-06-03T21:30:00-04:00,2025-06-03T12:41:25-04:00,pre_game,demon,False,False
5204970,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,9.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:32-04:00,pre_game,demon,False,False
5211919,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,16.0,2025-06-03T21:30:00-04:00,2025-06-03T11:59:54-04:00,pre_game,standard,False,False
5202280,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-03T12:06:19-04:00,pre_game,standard,False,False
