player_name,stat_type,line,predicted_value,confidence_score,volatility_score,recommendation,bbref_id,timestamp,line_diff,abs_diff,trap_type,trap_probability,detection_method,line_intent,action_required,reason,extracted_date,cycle_phase,cycle_risk_tag,perf_trend,corrected_risk_tag
Caitlin Clark,Rebounds,5.5,5.5,0.0,0.5,EXCELLENT,clarkca01w,2025-06-17T11:02:51.479748,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Aliyah Boston,Pts+Rebs,21.5,21.5,0.0,0.5,EXCELLENT,bostoal01w,2025-06-17T11:02:51.592987,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Tina Charles,Rebounds,5.5,5.5,0.0,0.5,EXCELLENT,charlti01w,2025-06-17T11:02:51.634115,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Rhyne Howard,Rebounds,5.5,5.5,0.0,0.5,EXCELLENT,howarrh01w,2025-06-17T11:02:51.708783,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Breanna Stewart,Assists,3.5,3.5,0.0,0.5,EXCELLENT,stewabr01w,2025-06-17T11:02:51.854598,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Sabrina Ionescu,Points,19.5,19.5,0.0,0.5,EXCELLENT,ionessa01w,2025-06-17T11:02:51.888498,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Jonquel Jones,3-PT Made,1.5,1.5,0.0,0.5,EXCELLENT,jonesjo01w,2025-06-17T11:02:51.952334,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,luteal,NEUTRAL,1.0,TARGET_LUTEAL
Arike Ogunbowale,Points,17.5,17.5,0.0,0.5,EXCELLENT,ogunbar01w,2025-06-17T11:02:52.403166,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Paige Bueckers,Rebounds,4.5,4.5,0.0,0.5,EXCELLENT,bueckpa01w,2025-06-17T11:02:52.469057,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
DiJonai Carrington,Pts+Rebs,18.5,18.5,0.0,0.5,EXCELLENT,carridi01w,2025-06-17T11:02:52.484029,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Veronica Burton,Rebs+Asts,9.5,9.5,0.0,0.5,EXCELLENT,burtove01w,2025-06-17T11:02:52.553669,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Brittney Sykes,Assists,4.5,4.5,0.0,0.5,EXCELLENT,sykesbr01w,2025-06-17T11:02:52.616149,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Angel Reese,Assists,3.5,3.5,0.0,0.5,EXCELLENT,reesean01w,2025-06-17T11:02:52.649908,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Ariel Atkins,3-PT Made,1.5,1.5,0.0,0.5,EXCELLENT,atkinar01w,2025-06-17T11:02:52.689683,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Nneka Ogwumike,Points,16.0,16.0,0.0,0.5,EXCELLENT,ogwumnn01w,2025-06-17T11:02:53.002942,0.0,0.0,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Aliyah Boston,Rebounds,7.5,7.6,0.0,0.5,EXCELLENT,bostoal01w,2025-06-17T11:02:51.586763,-0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
Aliyah Boston,Assists,4.0,4.1,0.0,0.5,EXCELLENT,bostoal01w,2025-06-17T11:02:51.606040,-0.0999999999999996,0.0999999999999996,NORMAL,0.1,,,NONE,Line closely matches prediction,2025-06-17,menstrual,FADE_MENSTRUAL,1.0,FADE_MENSTRUAL
