PlayerFileName,GameID,GameDate,Matchup,Points,Assists,Rebounds,ThreesMade,Steals,Blocks,Turnovers,Minutes
Caitlin Clark 2024.csv,,,,20,,,,,,,
Caitlin Clark 2024.csv,,,,9,,,,,,,
Caitlin Clark 2024.csv,,,,22,,,,,,,
Caitlin Clark 2024.csv,,,,17,,,,,,,
Caitlin Clark 2024.csv,,,,11,,,,,,,
Caitlin Clark 2024.csv,,,,11,,,,,,,
Caitlin Clark 2024.csv,,,,30,,,,,,,
clarkClark 2024.csv,,,,20,,,,,,,
clarkClark 2024.csv,,,,9,,,,,,,
clarkClark 2024.csv,,,,22,,,,,,,
clarkClark 2024.csv,,,,17,,,,,,,
clarkClark 2024.csv,,,,11,,,,,,,
clarkClark 2024.csv,,,,11,,,,,,,
clarkClark 2024.csv,,,,30,,,,,,,
