player_name,stat_type,line,predicted_value,confidence_score,volatility_score,recommendation,bbref_id,timestamp,line_diff,abs_diff,trap_type,trap_probability,detection_method,line_intent,action_required,betting_recommendation,expected_value,confidence
Napheesa Collier,Fantasy Score,47.5,0.0,0.0,0.5,PASS,collina01w,2025-06-17T11:02:52.045099,47.5,47.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Breanna Stewart,Fantasy Score,40.0,0.0,0.0,0.5,PASS,stewabr01w,2025-06-17T11:02:51.850668,40.0,40.0,DEMON,0.95,"EXTREME_DEMON_DIFF, INTENT_BASED, HIGH_PROBABILITY",ROUND_NUMBER_TRAP STAR_PLAYER_TRAP,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Paige Bueckers,Fantasy Score,38.5,0.0,0.0,0.5,PASS,bueckpa01w,2025-06-17T11:02:52.423834,38.5,38.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Dearica Hamby,Fantasy Score,38.5,0.0,0.0,0.5,PASS,hambyde01w,2025-06-17T11:02:52.944166,38.5,38.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Jackie Young,Fantasy Score,36.0,0.0,0.0,0.5,PASS,youngja01w,2025-06-17T11:02:52.291098,36.0,36.0,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Rhyne Howard,Fantasy Score,35.5,0.0,0.0,0.5,PASS,howarrh01w,2025-06-17T11:02:51.660507,35.5,35.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Sabrina Ionescu,Fantasy Score,35.5,0.0,0.0,0.5,PASS,ionessa01w,2025-06-17T11:02:51.934896,35.5,35.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Brittney Sykes,Fantasy Score,34.0,0.0,0.0,0.5,PASS,sykesbr01w,2025-06-17T11:02:52.628935,34.0,34.0,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Angel Reese,Fantasy Score,33.0,0.0,0.0,0.5,PASS,reesean01w,2025-06-17T11:02:52.674117,33.0,33.0,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Nneka Ogwumike,Fantasy Score,32.5,0.0,0.0,0.5,PASS,ogwumnn01w,2025-06-17T11:02:53.033813,32.5,32.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Aliyah Boston,Fantasy Score,31.5,0.0,0.0,0.5,PASS,bostoal01w,2025-06-17T11:02:51.608036,31.5,31.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Skylar Diggins,Fantasy Score,31.5,0.0,0.0,0.5,PASS,diggisk01w,2025-06-17T11:02:52.989134,31.5,31.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Allisha Gray,Fantasy Score,31.0,0.0,0.0,0.5,PASS,grayyal01w,2025-06-17T11:02:51.721276,31.0,31.0,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
Marina Mabrey,Fantasy Score,30.5,0.0,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.427379,30.5,30.5,DEMON,0.95,"EXTREME_DEMON_DIFF, HIGH_PROBABILITY",,AVOID_OVER,AVOID_DEMON,-0.75,0.1
