SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736115,2025-05-17,IND vs OPP,W,13.0,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,1,1,3,0,0,2,0,2,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736122,2025-05-20,IND vs OPP,W,6.0,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,0,1,0,2,-6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736126,2025-05-22,IND vs OPP,W,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736143,2025-05-28,IND vs OPP,W,31.0,2,7,0.286,0,3,0.0,0,0,0.0,2,1,3,3,3,0,1,0,5,0,4,-4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736146,2025-05-30,IND vs OPP,W,9.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736156,2025-06-03,IND vs OPP,W,16.0,2,3,0.667,1,2,0.5,2,3,0.667,0,1,1,3,0,0,1,0,4,0,7,-3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736164,2025-06-08,IND vs OPP,W,25.0,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,3,2,1,0,0,1,0,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736169,2025-06-10,IND vs OPP,W,25.0,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,1,2,0,0,0,0,0,3,-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25
2025,1004,Sydney Colson,,5,IND,Indiana Fever,401736177,2025-06-14,IND vs OPP,W,20.0,3,4,0.75,2,3,0.667,2,2,1.0,0,1,1,6,0,1,0,0,2,0,10,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20
2025,1054,Tiffany Hayes,,129689,GS,Golden State Valkyries,401736114,2025-05-17,GS vs OPP,W,30.0,7,16,0.438,2,5,0.4,3,3,1.0,2,7,9,1,4,1,1,0,4,0,19,-21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30
2025,1054,Tiffany Hayes,,129689,GS,Golden State Valkyries,401736124,2025-05-22,GS vs OPP,W,13.0,0,4,0.0,0,2,0.0,2,2,1.0,0,1,1,1,0,0,0,0,1,0,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13
2025,1054,Tiffany Hayes,,129689,GS,Golden State Valkyries,401736155,2025-06-02,GS vs OPP,W,15.0,3,6,0.5,1,3,0.333,2,2,1.0,2,0,2,2,0,1,0,0,4,0,9,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736117,2025-05-18,SEA vs OPP,W,24.0,5,10,0.5,0,2,0.0,2,2,1.0,1,6,7,0,2,2,0,0,4,0,12,-9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736120,2025-05-20,SEA vs OPP,W,35.0,10,21,0.476,1,2,0.5,2,3,0.667,2,16,18,3,3,2,0,0,4,0,23,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736131,2025-05-24,SEA vs OPP,W,35.0,11,15,0.733,1,3,0.333,1,1,1.0,0,8,8,0,1,1,1,0,1,0,24,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736137,2025-05-25,SEA vs OPP,W,29.0,10,15,0.667,2,3,0.667,1,2,0.5,2,6,8,6,2,1,0,0,2,0,23,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736140,2025-05-28,SEA vs OPP,W,32.0,5,14,0.357,0,3,0.0,1,3,0.333,2,6,8,1,2,2,0,0,2,0,11,-5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736150,2025-05-31,SEA vs OPP,W,31.0,7,15,0.467,0,3,0.0,2,2,1.0,1,5,6,4,1,1,0,0,3,0,16,-6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736154,2025-06-01,SEA vs OPP,W,34.0,4,13,0.308,1,4,0.25,0,0,0.0,1,7,8,2,1,0,1,0,2,0,9,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736158,2025-06-04,SEA vs OPP,W,31.0,5,11,0.455,2,2,1.0,2,2,1.0,1,8,9,1,4,0,2,0,1,0,14,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736165,2025-06-08,SEA vs OPP,W,29.0,5,13,0.385,1,2,0.5,2,3,0.667,3,3,6,6,2,1,0,0,1,0,13,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736173,2025-06-12,SEA vs OPP,W,32.0,9,14,0.643,2,4,0.5,1,3,0.333,3,7,10,4,2,2,0,0,1,0,21,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32
2025,1068,Nneka Ogwumike,,14,SEA,Seattle Storm,401736178,2025-06-15,SEA vs OPP,W,26.0,2,6,0.333,0,1,0.0,2,2,1.0,1,4,5,2,5,1,1,0,4,0,6,-3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26
2025,1107,Shey Peddy,,6,LA,Los Angeles Sparks,401736176,2025-06-14,LA vs OPP,W,7.0,1,2,0.5,0,0,0.0,1,1,1.0,1,0,1,2,0,0,0,0,1,0,3,-7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736125,2025-05-22,LA vs OPP,W,9.0,2,4,0.5,1,3,0.333,1,1,1.0,0,1,1,0,1,0,0,0,3,0,6,-8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736130,2025-05-24,LA vs OPP,W,7.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,1,0,1,1,0,1,0,2,-7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736135,2025-05-25,LA vs OPP,W,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,-5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736141,2025-05-28,LA vs OPP,W,12.0,2,2,1.0,1,1,1.0,0,0,0.0,1,1,2,1,1,2,0,0,1,0,5,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736148,2025-05-31,LA vs OPP,W,11.0,2,3,0.667,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736153,2025-06-01,LA vs OPP,W,15.0,1,8,0.125,0,5,0.0,1,2,0.5,3,1,4,1,1,2,0,0,5,0,3,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736162,2025-06-07,LA vs OPP,W,10.0,1,2,0.5,0,1,0.0,2,2,1.0,1,0,1,0,1,1,0,0,3,0,4,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736168,2025-06-10,LA vs OPP,W,11.0,2,4,0.5,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,0,6,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736171,2025-06-12,LA vs OPP,W,7.0,2,2,1.0,2,2,1.0,0,0,0.0,0,1,1,1,2,0,0,0,3,0,6,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
2025,2284331,Emma Cannon,,6,LA,Los Angeles Sparks,401736176,2025-06-14,LA vs OPP,W,22.0,5,7,0.714,2,3,0.667,2,4,0.5,0,2,2,0,1,0,0,0,2,0,14,-1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736116,2025-05-17,NY vs OPP,W,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736127,2025-05-23,NY vs OPP,W,17.0,3,4,0.75,1,2,0.5,0,0,0.0,1,1,2,2,1,1,0,0,2,0,7,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736132,2025-05-24,NY vs OPP,W,6.0,0,1,0.0,0,0,0.0,2,2,1.0,1,0,1,0,1,1,0,0,4,0,2,-7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736139,2025-05-27,NY vs OPP,W,16.0,4,6,0.667,0,0,0.0,0,0,0.0,1,1,2,1,0,2,1,0,1,0,8,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736144,2025-05-29,NY vs OPP,W,13.0,1,2,0.5,1,1,1.0,0,0,0.0,1,0,1,1,0,0,0,0,1,0,3,-10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736147,2025-05-30,NY vs OPP,W,18.0,4,6,0.667,1,2,0.5,2,2,1.0,1,3,4,0,0,1,0,0,0,0,11,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736152,2025-06-01,NY vs OPP,W,20.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,4,1,0,1,0,5,0,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736159,2025-06-05,NY vs OPP,W,13.0,2,2,1.0,1,1,1.0,4,4,1.0,0,2,2,0,0,0,0,0,0,0,9,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13
2025,2327695,Rebekah Gardner,,9,NY,New York Liberty,401736170,2025-06-11,NY vs OPP,W,19.0,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,1,0,1,0,0,2,0,4,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19
