SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024,203827,Natasha Howard,Natasha,1611661321,DAL,Dallas Wings,1022400239,2024-09-19T00:00:00,DAL @ LVA,L,32.6,6,18,0.333,1,3,0.333,0,0,0.0,1,6,7,1,1,0,0,2,2,1,13,-3,21.9,0,0,22.0,1.0,2263.0,2263.0,2263.0,837.0,639.0,162.0,2587.0,966.0,1209.0,1190.0,2266.0,2417.0,2266.0,1010.0,442.0,589.0,2320.0,1742.0,2210.0,1350.0,4111.0,2127.0,2052.0,1109.0,2613.0,1668.0,299.0,8.0,1515.0,1,32:36
2024,1629477,Sabrina Ionescu,Sabrina,1611661313,NYL,New York Liberty,1022400236,2024-09-19T00:00:00,NYL vs. ATL,L,22.23333333333333,1,8,0.125,1,3,0.333,0,0,0.0,1,0,1,7,1,1,1,0,1,0,3,-14,19.7,0,0,16.0,1.0,2263.0,2263.0,2263.0,2250.0,2886.0,1629.0,3621.0,966.0,1209.0,1190.0,2266.0,2417.0,2266.0,1010.0,3606.0,3089.0,133.0,1742.0,907.0,419.0,1.0,966.0,3093.0,3074.0,4135.0,1889.0,299.0,8.0,2173.0,1,22:14
2024,1628508,Cecilia Zandalasini,Cecilia,1611661324,MIN,Minnesota Lynx,1022400238,2024-09-19T00:00:00,MIN vs. LAS,L,16.733333333333334,2,4,0.5,0,1,0.0,0,0,0.0,1,1,2,1,1,1,0,1,1,0,4,-13,9.9,0,0,9.0,1.0,2263.0,2263.0,2263.0,2903.0,2287.0,2800.0,1203.0,1909.0,2344.0,1909.0,2266.0,2417.0,2266.0,1010.0,2717.0,2427.0,2320.0,1742.0,907.0,1350.0,3082.0,966.0,3093.0,2809.0,4067.0,3032.0,299.0,8.0,3044.0,1,16:44
2024,1628280,Brionna Jones,Brionna,1611661323,CON,Connecticut Sun,1022400235,2024-09-19T00:00:00,CON vs. CHI,W,19.45,0,2,0.0,0,0,0.0,4,4,1.0,2,0,2,0,0,1,1,0,1,3,4,28,12.4,0,0,10.0,1.0,1.0,1.0,1.0,2587.0,3652.0,3496.0,3652.0,1909.0,3181.0,1909.0,419.0,618.0,1.0,436.0,3606.0,2427.0,3330.0,3036.0,907.0,419.0,1.0,966.0,816.0,2809.0,17.0,2730.0,299.0,8.0,2916.0,1,19:27
2024,1628915,Kia Nurse,Kia,1611661320,LAS,Los Angeles Sparks,1022400238,2024-09-19T00:00:00,LAS @ MIN,W,16.7,4,6,0.667,4,6,0.667,0,0,0.0,1,3,4,1,3,0,0,0,2,0,12,8,15.3,0,0,21.0,1.0,1.0,1.0,1.0,2905.0,1289.0,2173.0,469.0,87.0,401.0,323.0,2266.0,2417.0,2266.0,1010.0,1421.0,1430.0,2320.0,406.0,2210.0,1350.0,1.0,2127.0,3093.0,1260.0,898.0,2382.0,299.0,8.0,1615.0,1,16:42
2024,1641649,Diamond Miller,Diamond,1611661324,MIN,Minnesota Lynx,1022400238,2024-09-19T00:00:00,MIN vs. LAS,L,20.466666666666665,2,8,0.25,1,3,0.333,3,6,0.5,2,1,3,0,2,0,0,0,0,3,8,-23,9.6,0,0,12.0,1.0,2263.0,2263.0,2263.0,2472.0,2287.0,1629.0,3148.0,966.0,1209.0,1190.0,694.0,267.0,1804.0,436.0,2717.0,1879.0,3330.0,894.0,2210.0,1350.0,1.0,1.0,816.0,1947.0,4475.0,3084.0,299.0,8.0,2666.0,1,20:28
2024,1627675,Courtney Williams,Courtney,1611661324,MIN,Minnesota Lynx,1022400238,2024-09-19T00:00:00,MIN vs. LAS,L,26.766666666666666,2,8,0.25,1,3,0.333,1,1,1.0,0,4,4,2,4,2,1,0,1,2,6,3,18.8,0,0,19.0,1.0,2263.0,2263.0,2263.0,1692.0,2287.0,1629.0,3148.0,966.0,1209.0,1190.0,1749.0,2169.0,1.0,2112.0,970.0,1430.0,1544.0,166.0,323.0,419.0,1.0,966.0,1354.0,2350.0,1536.0,1996.0,299.0,8.0,1826.0,1,26:46
2024,1631006,Kierstan Bell,Kierstan,1611661319,LVA,Las Vegas Aces,1022400239,2024-09-19T00:00:00,LVA vs. DAL,W,24.2,4,11,0.364,3,6,0.5,1,2,0.5,1,3,4,5,1,0,0,1,3,1,12,12,23.3,0,0,24.0,1.0,1.0,1.0,1.0,2023.0,1289.0,1005.0,2518.0,203.0,401.0,551.0,1749.0,1263.0,1804.0,1010.0,1421.0,1430.0,400.0,1742.0,2210.0,1350.0,3082.0,3120.0,2052.0,1260.0,546.0,1550.0,299.0,8.0,1332.0,1,24:12
2024,1642293,Alissa Pili,Alissa,1611661324,MIN,Minnesota Lynx,1022400238,2024-09-19T00:00:00,MIN vs. LAS,L,22.4,3,7,0.429,1,3,0.333,1,2,0.5,0,2,2,0,3,2,0,1,3,1,8,1,13.4,0,0,15.0,1.0,2263.0,2263.0,2263.0,2230.0,1744.0,1890.0,1997.0,966.0,1209.0,1190.0,1749.0,1263.0,1804.0,2112.0,1983.0,2427.0,3330.0,406.0,323.0,1350.0,3082.0,3120.0,2052.0,1947.0,1886.0,2613.0,299.0,8.0,2282.0,1,22:24
2024,1628244,Sami Whitcomb,Sami,1611661328,SEA,Seattle Storm,1022400240,2024-09-19T00:00:00,SEA @ PHO,W,34.85,4,11,0.364,3,9,0.333,0,0,0.0,3,5,8,5,3,0,0,0,3,0,11,27,25.1,0,0,27.0,1.0,1.0,1.0,1.0,473.0,1289.0,1005.0,2518.0,203.0,105.0,1190.0,2266.0,2417.0,2266.0,204.0,651.0,416.0,400.0,406.0,2210.0,1350.0,1.0,3120.0,3093.0,1439.0,24.0,1382.0,299.0,8.0,1090.0,1,34:51
