PLAYER_NAME,GAME_DATE,PTS,AST,REB,STL,BLK,TOV,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Aliyah Boston,2025-05-30,17,8,5,1,0,1,26,8,10,0.8,0,0,0.0,1,2,0.5
Aliyah Boston,2025-06-03,10,4,1,0,1,2,29,5,5,1.0,0,0,0.0,0,2,0.0
Aliyah Boston,2025-06-07,11,5,5,0,1,5,27,4,7,0.571,0,1,0.0,3,5,0.6
Aliyah Boston,2025-06-10,7,5,4,0,1,2,29,3,9,0.333,0,1,0.0,1,2,0.5
Aliyah Boston,2025-06-14,10,6,11,0,2,1,30,4,10,0.4,0,0,0.0,2,3,0.667
Caitlin Clark,2025-05-17,20,10,10,2,4,3,32,6,13,0.462,4,8,0.5,4,4,1.0
Caitlin Clark,2025-05-20,27,11,5,2,0,3,38,9,20,0.45,5,11,0.455,4,6,0.667
Caitlin Clark,2025-05-22,11,6,4,1,0,4,32,4,11,0.364,0,5,0.0,3,5,0.6
Caitlin Clark,2025-05-24,18,10,5,0,0,10,38,6,18,0.333,2,11,0.182,4,5,0.8
Caitlin Clark,2025-06-14,32,9,8,1,2,7,31,11,20,0.55,7,14,0.5,3,5,0.6
