PLAYER_NAME,TEAM,GAME_DATE,PTS,AST,REB,STL,BLK,TOV,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Aliyah Boston,IND,2025-05-30,17,8,5,1,0,1,26,8,10,0.8,0,0,0.0,1,2,0.5
Aliyah Boston,IND,2025-06-03,10,4,1,0,1,2,29,5,5,1.0,0,0,0.0,0,2,0.0
Aliyah Boston,IND,2025-06-07,11,5,5,0,1,5,27,4,7,0.571,0,1,0.0,3,5,0.6
Aliyah Boston,IND,2025-06-10,7,5,4,0,1,2,29,3,9,0.333,0,1,0.0,1,2,0.5
Aliyah Boston,IND,2025-06-14,10,6,11,0,2,1,30,4,10,0.4,0,0,0.0,2,3,0.667
Caitlin Clark,IND,2025-05-17,20,10,10,2,4,3,32,6,13,0.462,4,8,0.5,4,4,1.0
Caitlin Clark,IND,2025-05-20,27,11,5,2,0,3,38,9,20,0.45,5,11,0.455,4,6,0.667
Caitlin Clark,IND,2025-05-22,11,6,4,1,0,4,32,4,11,0.364,0,5,0.0,3,5,0.6
Caitlin Clark,IND,2025-05-24,18,10,5,0,0,10,38,6,18,0.333,2,11,0.182,4,5,0.8
Caitlin Clark,IND,2025-06-14,32,9,8,1,2,7,31,11,20,0.55,7,14,0.5,3,5,0.6
Damiris Dantas,IND,2025-05-30,9,0,4,0,1,1,14,3,5,0.6,1,2,0.5,2,2,1.0
Damiris Dantas,IND,2025-06-03,8,0,4,1,0,0,17,2,4,0.5,2,3,0.667,2,2,1.0
Damiris Dantas,IND,2025-06-07,3,1,3,0,0,0,15,0,3,0.0,0,2,0.0,3,4,0.75
Damiris Dantas,IND,2025-06-10,3,1,2,0,0,1,10,1,5,0.2,1,4,0.25,0,0,0.0
Damiris Dantas,IND,2025-06-14,5,1,4,0,0,0,10,2,4,0.5,1,2,0.5,0,0,0.0
Temi Fagbenle,IND,2025-06-01,5,1,3,2,1,0,25,1,4,0.25,0,3,0.0,3,4,0.75
Temi Fagbenle,IND,2025-06-05,12,1,11,2,2,1,28,5,12,0.417,1,3,0.333,1,2,0.5
Temi Fagbenle,IND,2025-06-07,7,1,1,1,0,1,13,3,4,0.75,0,0,0.0,1,1,1.0
Temi Fagbenle,IND,2025-06-09,14,1,13,4,4,5,28,5,12,0.417,0,4,0.0,4,5,0.8
Temi Fagbenle,IND,2025-06-14,16,2,7,0,0,0,27,8,14,0.571,0,2,0.0,0,0,0.0
Bridget Carleton,MIN,2025-06-01,12,2,2,1,0,0,34,4,9,0.444,2,6,0.333,2,2,1.0
Bridget Carleton,MIN,2025-06-03,3,3,3,0,1,3,23,1,3,0.333,1,3,0.333,0,0,0.0
