SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,cycle_phase,cycle_day,phase_volatility,cycle_confidence,perf_trend,cycle_risk_tag
2024,100940,Diana Taurasi,Diana,1611661317,PHO,Phoenix Mercury,1022400003,2024-05-14,PHO @ LVA,L,28.366666666666667,8,14,0.571,7,11,0.636,0,1,0.0,0,3,3,0,2,0,0,0,5,1,23,3,24.6,0,0,33.0,1.0,2263.0,2263.0,2263.0,1484.0,241.0,527.0,940.0,4.0,33.0,437.0,2266.0,2169.0,2266.0,2112.0,1421.0,1879.0,3330.0,894.0,2210.0,1350.0,1.0,4295.0,2052.0,226.0,1536.0,1425.0,299.0,8.0,607.0,1,28:22,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,201886,DeWanna Bonner,DeWanna,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,28.65,8,14,0.571,0,3,0.0,4,5,0.8,0,6,6,1,2,1,0,2,4,3,20,19,29.7,0,0,29.0,1.0,1.0,1.0,1.0,1449.0,241.0,527.0,940.0,1909.0,1209.0,1909.0,419.0,451.0,1307.0,2112.0,442.0,789.0,2320.0,894.0,907.0,1350.0,4111.0,3845.0,816.0,386.0,168.0,988.0,299.0,8.0,937.0,1,28:39,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,202252,Alysha Clark,Alysha,1611661319,LVA,Las Vegas Aces,1022400003,2024-05-14,LVA vs. PHO,W,34.25,3,7,0.429,0,4,0.0,2,2,1.0,3,4,7,0,2,2,0,0,1,2,8,4,20.4,0,0,19.0,1.0,1.0,1.0,1.0,582.0,1744.0,1890.0,1997.0,1909.0,853.0,1909.0,1015.0,1263.0,1.0,204.0,970.0,589.0,3330.0,894.0,323.0,1350.0,1.0,966.0,1354.0,1947.0,1391.0,1820.0,299.0,8.0,1826.0,1,34:15,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,202641,Sydney Colson,Sydney,1611661319,LVA,Las Vegas Aces,1022400003,2024-05-14,LVA vs. PHO,W,11.75,1,4,0.25,0,3,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,0,2,5,2.5,0,0,3.0,1.0,1.0,1.0,1.0,3470.0,2886.0,2800.0,3148.0,1909.0,1209.0,1909.0,2266.0,2417.0,2266.0,2112.0,3606.0,3812.0,2320.0,1742.0,2210.0,1350.0,1.0,2127.0,3093.0,3308.0,1268.0,3960.0,299.0,8.0,3832.0,1,11:45,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,202664,Courtney Vandersloot,Courtney,1611661313,NYL,New York Liberty,1022400001,2024-05-14,NYL @ WAS,W,27.65,3,9,0.333,0,2,0.0,0,0,0.0,0,2,2,5,2,1,0,2,3,0,6,4,16.9,0,0,15.0,1.0,1.0,1.0,1.0,1588.0,1744.0,1408.0,2587.0,1909.0,1704.0,1909.0,2266.0,2417.0,2266.0,2112.0,1983.0,2427.0,400.0,894.0,907.0,1350.0,4111.0,3120.0,3093.0,2350.0,1391.0,2202.0,299.0,8.0,2282.0,1,27:39,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203014,Nneka Ogwumike,Nneka,1611661328,SEA,Seattle Storm,1022400004,2024-05-14,SEA vs. MIN,L,30.2,10,18,0.556,0,1,0.0,0,0,0.0,5,4,9,0,1,2,0,1,3,3,20,-12,35.8,0,0,33.0,1.0,2263.0,2263.0,2263.0,1236.0,79.0,162.0,1047.0,1909.0,2344.0,1909.0,2266.0,2417.0,2266.0,49.0,970.0,300.0,3330.0,1742.0,323.0,1350.0,3082.0,3120.0,816.0,386.0,3976.0,570.0,299.0,8.0,607.0,1,30:12,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203400,Skylar Diggins,Skylar,1611661328,SEA,Seattle Storm,1022400004,2024-05-14,SEA vs. MIN,L,30.866666666666667,4,13,0.308,0,1,0.0,2,2,1.0,0,1,1,6,4,2,1,1,3,2,10,-12,25.2,0,0,23.0,1.0,2263.0,2263.0,2263.0,1123.0,1289.0,669.0,2935.0,1909.0,2344.0,1909.0,1015.0,1263.0,1.0,2112.0,2717.0,3089.0,230.0,166.0,323.0,419.0,3082.0,3120.0,1354.0,1577.0,3976.0,1372.0,299.0,8.0,1428.0,1,30:52,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203825,Kayla McBride,Kayla,1611661324,MIN,Minnesota Lynx,1022400004,2024-05-14,MIN @ SEA,W,30.516666666666666,3,8,0.375,1,5,0.2,2,2,1.0,2,3,5,5,2,3,0,1,2,0,9,12,29.5,0,0,26.0,1.0,1.0,1.0,1.0,1181.0,1744.0,1629.0,2424.0,966.0,620.0,1752.0,1015.0,1263.0,1.0,436.0,1421.0,1096.0,400.0,894.0,93.0,1350.0,3082.0,2127.0,3093.0,1760.0,546.0,1010.0,299.0,8.0,1163.0,1,30:31,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203826,Alyssa Thomas,Alyssa,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,35.9,4,8,0.5,0,0,0.0,5,8,0.625,1,9,10,13,7,3,0,0,2,8,13,14,46.5,1,1,42.0,1.0,1.0,1.0,1.0,354.0,1289.0,1629.0,1203.0,1909.0,3181.0,1909.0,274.0,110.0,1750.0,1010.0,117.0,220.0,6.0,10.0,93.0,1350.0,1.0,2127.0,29.0,1109.0,400.0,166.0,1.0,1.0,203.0,1,35:54,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203828,Stefanie Dolson,Stefanie,1611661322,WAS,Washington Mystics,1022400001,2024-05-14,WAS vs. NYL,L,26.78333333333333,4,8,0.5,2,6,0.333,2,4,0.5,2,3,5,2,0,0,0,0,2,4,12,3,21.0,0,0,21.0,1.0,2263.0,2263.0,2263.0,1690.0,1289.0,1629.0,1203.0,493.0,401.0,1190.0,1015.0,618.0,1804.0,436.0,1421.0,1096.0,1544.0,3036.0,2210.0,1350.0,1.0,2127.0,467.0,1260.0,1536.0,1763.0,299.0,8.0,1615.0,1,26:47,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203838,Astou Ndour-Fall,Astou,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,2.9833333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,5,-1.0,0,0,0.0,1.0,1.0,1.0,1.0,4291.0,3652.0,4208.0,3652.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,3606.0,3812.0,3330.0,1742.0,2210.0,1350.0,1.0,966.0,3093.0,3784.0,1268.0,4474.0,299.0,8.0,4292.0,1,2:59,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,203866,Kayla Thornton,Kayla,1611661313,NYL,New York Liberty,1022400001,2024-05-14,NYL @ WAS,W,4.883333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,0,0,3,4.2,0,0,3.0,1.0,1.0,1.0,1.0,4115.0,3652.0,3861.0,3652.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,2717.0,3089.0,3330.0,3036.0,2210.0,419.0,3082.0,1.0,3093.0,3784.0,1536.0,3740.0,299.0,8.0,3832.0,1,4:53,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,204296,Rebecca Allen,Rebecca,1611661317,PHO,Phoenix Mercury,1022400003,2024-05-14,PHO @ LVA,L,33.4,5,13,0.385,3,6,0.5,1,2,0.5,1,6,7,2,2,2,1,1,3,2,14,3,32.4,0,0,32.0,1.0,2263.0,2263.0,2263.0,712.0,914.0,669.0,2392.0,203.0,401.0,551.0,1749.0,1263.0,1804.0,1010.0,442.0,589.0,1544.0,894.0,323.0,419.0,3082.0,3120.0,1354.0,968.0,1536.0,791.0,299.0,8.0,677.0,1,33:24,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
