player_name,team_name,stat_type,line,timestamp
Lexie Hull,IND,Points,14.5,2025-06-17T11:02:49.810030
Lexie Hull,IND,Rebounds,3.5,2025-06-17T11:02:49.810039
Marina Mabrey,CON,Free Throws Made,2.5,2025-06-17T11:02:49.810046
Marina Mabrey,CON,3-PT Made,3.5,2025-06-17T11:02:49.810047
Marina Mabrey,CON,FG Attempted,16.5,2025-06-17T11:02:49.810048
Marina Mabrey,CON,3-PT Attempted,8.0,2025-06-17T11:02:49.810050
Marina Mabrey,CON,Rebounds,5.5,2025-06-17T11:02:49.810051
Marina Mabrey,CON,Points,17.5,2025-06-17T11:02:49.810053
Marina Mabrey,CON,Pts+Rebs+Asts,34.5,2025-06-17T11:02:49.810054
Marina Mabrey,CON,Pts+Rebs+Asts,29.5,2025-06-17T11:02:49.810056
Marina Mabrey,CON,Pts+Rebs+Asts,39.5,2025-06-17T11:02:49.810057
Marina Mabrey,CON,Points,29.5,2025-06-17T11:02:49.810058
Marina Mabrey,CON,3-PT Made,4.5,2025-06-17T11:02:49.810059
Marina Mabrey,CON,Assists,5.5,2025-06-17T11:02:49.810061
Marina Mabrey,CON,Fantasy Score,30.5,2025-06-17T11:02:49.810063
Marina Mabrey,CON,Pts+Rebs,22.5,2025-06-17T11:02:49.810063
Marina Mabrey,CON,Points,14.5,2025-06-17T11:02:49.810065
Marina Mabrey,CON,Points,24.5,2025-06-17T11:02:49.810066
Marina Mabrey,CON,Rebs+Asts,8.0,2025-06-17T11:02:49.810067
Marina Mabrey,CON,Rebounds,3.5,2025-06-17T11:02:49.810068
Marina Mabrey,CON,Assists,4.5,2025-06-17T11:02:49.810069
Marina Mabrey,CON,Rebounds,6.5,2025-06-17T11:02:49.810070
Marina Mabrey,CON,Assists,2.5,2025-06-17T11:02:49.810071
Marina Mabrey,CON,Rebounds,4.5,2025-06-17T11:02:49.810072
Marina Mabrey,CON,Points,16.5,2025-06-17T11:02:49.810073
Marina Mabrey,CON,3-PT Made,5.5,2025-06-17T11:02:49.810075
Marina Mabrey,CON,Assists,6.5,2025-06-17T11:02:49.810076
Marina Mabrey,CON,Pts+Asts,21.5,2025-06-17T11:02:49.810078
Marina Mabrey,CON,Pts+Rebs+Asts,24.5,2025-06-17T11:02:49.810079
Marina Mabrey,CON,Assists,3.0,2025-06-17T11:02:49.810080
Marina Mabrey,CON,Points,19.5,2025-06-17T11:02:49.810081
Marina Mabrey,CON,Rebounds,7.5,2025-06-17T11:02:49.810082
Marina Mabrey,CON,3-PT Made,1.5,2025-06-17T11:02:49.810083
Marina Mabrey,CON,Pts+Rebs+Asts,26.0,2025-06-17T11:02:49.810084
Caitlin Clark,IND,Points,21.5,2025-06-17T11:02:49.810086
Caitlin Clark,IND,Pts+Rebs+Asts,36.5,2025-06-17T11:02:49.810087
Caitlin Clark,IND,Fantasy Score,43.5,2025-06-17T11:02:49.810088
Caitlin Clark,IND,FG Attempted,17.5,2025-06-17T11:02:49.810089
Caitlin Clark,IND,Assists,7.5,2025-06-17T11:02:49.810091
Caitlin Clark,IND,Points,19.5,2025-06-17T11:02:49.810091
Caitlin Clark,IND,Rebounds,5.5,2025-06-17T11:02:49.810093
Caitlin Clark,IND,Rebounds,9.5,2025-06-17T11:02:49.810094
Caitlin Clark,IND,Pts+Rebs+Asts,39.5,2025-06-17T11:02:49.810095
Caitlin Clark,IND,Rebounds,8.5,2025-06-17T11:02:49.810096
Caitlin Clark,IND,Assists,9.5,2025-06-17T11:02:49.810097
Caitlin Clark,IND,Points,20.5,2025-06-17T11:02:49.810098
Caitlin Clark,IND,3-PT Made,3.5,2025-06-17T11:02:49.810099
Caitlin Clark,IND,Points,29.5,2025-06-17T11:02:49.810100
Caitlin Clark,IND,Assists,11.5,2025-06-17T11:02:49.810101
Caitlin Clark,IND,Pts+Rebs+Asts,44.5,2025-06-17T11:02:49.810103
Caitlin Clark,IND,3-PT Made,5.5,2025-06-17T11:02:49.810104
Caitlin Clark,IND,Pts+Rebs+Asts,49.5,2025-06-17T11:02:49.810105
Caitlin Clark,IND,Rebounds,6.0,2025-06-17T11:02:49.810106
Caitlin Clark,IND,Free Throws Made,3.5,2025-06-17T11:02:49.810108
Caitlin Clark,IND,3-PT Attempted,9.5,2025-06-17T11:02:49.810109
Caitlin Clark,IND,Points,22.5,2025-06-17T11:02:49.810110
Caitlin Clark,IND,Rebs+Asts,15.5,2025-06-17T11:02:49.810111
Caitlin Clark,IND,Rebounds,4.5,2025-06-17T11:02:49.810112
Caitlin Clark,IND,Pts+Asts,31.5,2025-06-17T11:02:49.810113
Caitlin Clark,IND,Assists,8.5,2025-06-17T11:02:49.810114
Caitlin Clark,IND,3-PT Made,4.5,2025-06-17T11:02:49.810115
Caitlin Clark,IND,Points,17.5,2025-06-17T11:02:49.810116
Caitlin Clark,IND,Assists,13.5,2025-06-17T11:02:49.810117
Caitlin Clark,IND,Pts+Rebs+Asts,34.5,2025-06-17T11:02:49.810118
