player_name,total_games,season_days,overall_score,metric,classification,pattern_score,dip_count,avg_drop_pct,mean_interval,interval_std,recent_dips
Layshia Clarendon,21,92,0.732,PTS,Strong Cycle Pattern,0.732,5,75.6,22.2,11.9,"2024-06-16, 2024-07-13, 2024-08-15"
Layshia Clarendon,21,92,0.732,REB,Insufficient Data,0.0,1,0.0,0.0,0.0,
Layshia Clarendon,21,92,0.732,AST,Insufficient Data,0.0,1,0.0,0.0,0.0,
Chennedy Carter,33,123,0.705,PTS,Strong Cycle Pattern,0.913,4,63.8,31.3,5.2,"2024-06-08, 2024-07-13, 2024-08-17"
Chennedy Carter,33,123,0.705,REB,Strong Cycle Pattern,0.601,5,72.5,29.0,20.4,"2024-07-02, 2024-07-11, 2024-09-11"
Chennedy Carter,33,123,0.705,AST,Strong Cycle Pattern,0.601,5,79.0,29.0,20.3,"2024-07-07, 2024-07-13, 2024-09-11"
Stephanie Soares,22,102,0.699,PTS,Insufficient Data,0.0,1,0.0,0.0,0.0,
Stephanie Soares,22,102,0.699,REB,Moderate Cycle Pattern,0.699,3,100.0,37.5,2.5,"2024-06-02, 2024-07-07, 2024-08-16"
Stephanie Soares,22,102,0.699,AST,Insufficient Data,0.0,1,0.0,0.0,0.0,
Cecilia Zandalasini,45,392,0.596,PTS,Strong Cycle Pattern,0.846,5,100.0,30.8,3.9,"2024-07-17, 2024-08-17, 2024-09-17"
Cecilia Zandalasini,45,392,0.596,REB,Insufficient Data,0.0,1,0.0,0.0,0.0,
Cecilia Zandalasini,45,392,0.596,AST,Weak Cycle Pattern,0.345,6,100.0,72.0,93.5,"2024-08-15, 2024-09-17, 2025-06-02"
Astou Ndour-Fall,22,128,0.581,PTS,Insufficient Data,0.0,0,0.0,0.0,0.0,
Astou Ndour-Fall,22,128,0.581,REB,Moderate Cycle Pattern,0.581,3,100.0,41.0,17.0,"2024-06-23, 2024-08-20, 2024-09-13"
Astou Ndour-Fall,22,128,0.581,AST,Insufficient Data,0.0,0,0.0,0.0,0.0,
Jordan Horston,39,128,0.529,PTS,Weak Cycle Pattern,0.487,6,75.2,20.4,17.9,"2024-07-07, 2024-07-10, 2024-08-30"
Jordan Horston,39,128,0.529,REB,Weak Cycle Pattern,0.519,7,75.9,20.3,10.3,"2024-08-18, 2024-08-30, 2024-09-19"
Jordan Horston,39,128,0.529,AST,Weak Cycle Pattern,0.581,6,92.7,21.0,14.4,"2024-08-18, 2024-08-26, 2024-08-30"
Cheyenne Parker-Tyus,26,396,0.523,PTS,Weak Cycle Pattern,0.407,6,58.6,19.0,15.9,"2024-07-10, 2024-08-16, 2024-08-18"
Cheyenne Parker-Tyus,26,396,0.523,REB,Irregular Pattern,0.239,7,74.8,66.0,105.5,"2024-08-16, 2024-08-18, 2025-06-15"
Cheyenne Parker-Tyus,26,396,0.523,AST,Strong Cycle Pattern,0.921,3,100.0,33.0,2.0,"2024-06-11, 2024-07-12, 2024-08-16"
Betnijah Laney-Hamilton,28,128,0.516,PTS,Weak Cycle Pattern,0.46,5,47.2,26.0,31.5,"2024-05-25, 2024-06-09, 2024-08-28"
Betnijah Laney-Hamilton,28,128,0.516,REB,Strong Cycle Pattern,0.601,5,51.8,26.8,18.0,"2024-07-06, 2024-08-26, 2024-09-15"
Betnijah Laney-Hamilton,28,128,0.516,AST,Weak Cycle Pattern,0.487,5,58.4,31.5,22.3,"2024-08-30, 2024-09-15, 2024-09-19"
Katie Lou Samuelson,37,128,0.506,PTS,Weak Cycle Pattern,0.547,7,73.9,16.0,12.1,"2024-08-16, 2024-08-18, 2024-08-24"
Katie Lou Samuelson,37,128,0.506,REB,Weak Cycle Pattern,0.458,7,82.5,19.7,19.3,"2024-08-26, 2024-09-01, 2024-09-11"
Katie Lou Samuelson,37,128,0.506,AST,Weak Cycle Pattern,0.512,5,100.0,28.2,23.6,"2024-07-10, 2024-09-04, 2024-09-06"
Dorka Juhász,34,113,0.503,PTS,Weak Cycle Pattern,0.449,8,84.4,16.1,17.1,"2024-08-23, 2024-08-24, 2024-09-15"
Dorka Juhász,34,113,0.503,REB,Weak Cycle Pattern,0.496,7,62.4,18.2,17.7,"2024-08-23, 2024-08-24, 2024-09-15"
Dorka Juhász,34,113,0.503,AST,Weak Cycle Pattern,0.563,3,100.0,18.5,16.5,"2024-05-26, 2024-06-30, 2024-07-02"
Kahleah Copper,38,397,0.498,PTS,Weak Cycle Pattern,0.514,7,58.4,21.3,13.4,"2024-08-18, 2024-09-05, 2024-09-19"
Kahleah Copper,38,397,0.498,REB,Weak Cycle Pattern,0.418,7,67.1,19.5,15.5,"2024-07-12, 2024-09-03, 2024-09-19"
Kahleah Copper,38,397,0.498,AST,Weak Cycle Pattern,0.561,5,82.3,25.0,21.4,"2024-06-02, 2024-06-28, 2024-08-26"
Temi Fágbénlé,22,128,0.49,PTS,Weak Cycle Pattern,0.488,5,62.4,26.5,24.7,"2024-07-02, 2024-08-26, 2024-08-28"
Temi Fágbénlé,22,128,0.49,REB,Weak Cycle Pattern,0.493,5,60.2,31.5,20.7,"2024-08-26, 2024-09-15, 2024-09-19"
Temi Fágbénlé,22,128,0.49,AST,Insufficient Data,0.0,0,0.0,0.0,0.0,
Diana Taurasi,36,128,0.489,PTS,Weak Cycle Pattern,0.566,7,52.9,19.7,10.1,"2024-07-14, 2024-08-21, 2024-09-13"
Diana Taurasi,36,128,0.489,REB,Weak Cycle Pattern,0.401,9,61.9,16.0,15.7,"2024-08-21, 2024-09-13, 2024-09-19"
Diana Taurasi,36,128,0.489,AST,Weak Cycle Pattern,0.501,7,71.5,21.3,15.8,"2024-07-14, 2024-09-05, 2024-09-19"
