player_name,total_games,season_days,overall_score,metric,classification,pattern_score,dip_count,avg_drop_pct,mean_interval,interval_std,recent_dips
Kate Martin,43,393,0.437,AST,Strong Cycle Pattern,0.94,4,100.0,29.3,4.5,"2024-06-13, 2024-07-16, 2024-08-17"
Cheyenne Parker-Tyus,26,396,0.523,AST,Strong Cycle Pattern,0.921,3,100.0,33.0,2.0,"2024-06-11, 2024-07-12, 2024-08-16"
Chennedy Carter,33,123,0.705,PTS,Strong Cycle Pattern,0.913,4,63.8,31.3,5.2,"2024-06-08, 2024-07-13, 2024-08-17"
Cecilia Zandalasini,45,392,0.596,PTS,Strong Cycle Pattern,0.846,5,100.0,30.8,3.9,"2024-07-17, 2024-08-17, 2024-09-17"
Layshia Clarendon,21,92,0.732,PTS,Strong Cycle Pattern,0.732,5,75.6,22.2,11.9,"2024-06-16, 2024-07-13, 2024-08-15"
Stephanie Soares,22,102,0.699,REB,Moderate Cycle Pattern,0.699,3,100.0,37.5,2.5,"2024-06-02, 2024-07-07, 2024-08-16"
Rae Burrell,38,367,0.484,PTS,Strong Cycle Pattern,0.651,6,93.7,23.2,8.8,"2024-07-13, 2024-08-20, 2024-09-08"
Allisha Gray,51,396,0.376,REB,Moderate Cycle Pattern,0.621,3,61.0,39.5,11.5,"2024-06-16, 2024-07-14, 2024-09-03"
Betnijah Laney-Hamilton,28,128,0.516,REB,Strong Cycle Pattern,0.601,5,51.8,26.8,18.0,"2024-07-06, 2024-08-26, 2024-09-15"
Chennedy Carter,33,123,0.705,AST,Strong Cycle Pattern,0.601,5,79.0,29.0,20.3,"2024-07-07, 2024-07-13, 2024-09-11"
Chennedy Carter,33,123,0.705,REB,Strong Cycle Pattern,0.601,5,72.5,29.0,20.4,"2024-07-02, 2024-07-11, 2024-09-11"
Aari McDonald,29,391,0.445,PTS,Weak Cycle Pattern,0.599,5,90.5,27.2,20.2,"2024-06-22, 2024-07-07, 2024-09-01"
NaLyssa Smith,52,396,0.418,AST,Weak Cycle Pattern,0.598,5,100.0,28.2,22.8,"2024-07-06, 2024-07-12, 2024-09-15"
Maddy Siegrist,38,393,0.327,AST,Weak Cycle Pattern,0.589,4,100.0,31.3,25.4,"2024-06-09, 2024-06-15, 2024-08-20"
DiJonai Carrington,51,396,0.348,REB,Weak Cycle Pattern,0.586,5,58.5,27.0,22.5,"2024-06-15, 2024-08-18, 2024-09-08"
Jordan Horston,39,128,0.529,AST,Weak Cycle Pattern,0.581,6,92.7,21.0,14.4,"2024-08-18, 2024-08-26, 2024-08-30"
Astou Ndour-Fall,22,128,0.581,REB,Moderate Cycle Pattern,0.581,3,100.0,41.0,17.0,"2024-06-23, 2024-08-20, 2024-09-13"
Diamond DeShields,32,116,0.458,PTS,Weak Cycle Pattern,0.575,3,90.9,16.5,9.5,"2024-05-25, 2024-06-20, 2024-06-27"
Kamilla Cardoso,42,379,0.398,PTS,Weak Cycle Pattern,0.571,5,67.7,25.8,21.6,"2024-06-30, 2024-08-30, 2024-09-15"
Diana Taurasi,36,128,0.489,PTS,Weak Cycle Pattern,0.566,7,52.9,19.7,10.1,"2024-07-14, 2024-08-21, 2024-09-13"
