player_name,stat_type,sportsbook,actual_odds,line,timestamp,american_odds
Kelsey Plum,points,PrizePicks,0.921,19.5,2025-06-17 17:25:12.776165,-108
Kelsey Plum,rebounds,PrizePicks,0.894,7.8,2025-06-17 17:25:12.776165,-111
Kelsey Plum,assists,PrizePicks,0.877,5.2,2025-06-17 17:25:12.776165,-114
Kelsey Plum,pts+rebs+asts,PrizePicks,0.9,30.0,2025-06-17 17:25:12.776165,-111
Kelsey Plum,threes,PrizePicks,0.88,2.6,2025-06-17 17:25:12.776165,-113
Arike Ogunbowale,points,PrizePicks,0.93,24.0,2025-06-17 17:25:12.776165,-107
Arike Ogunbowale,rebounds,PrizePicks,0.901,7.8,2025-06-17 17:25:12.776165,-110
Arike Ogunbowale,assists,PrizePicks,0.9,3.4,2025-06-17 17:25:12.776165,-111
Arike Ogunbowale,pts+rebs+asts,PrizePicks,0.901,28.8,2025-06-17 17:25:12.776165,-110
Arike Ogunbowale,threes,PrizePicks,0.854,2.0,2025-06-17 17:25:12.776165,-117
Sabrina Ionescu,points,PrizePicks,0.876,21.8,2025-06-17 17:25:12.776165,-114
Sabrina Ionescu,rebounds,PrizePicks,0.915,5.3,2025-06-17 17:25:12.776165,-109
Sabrina Ionescu,assists,PrizePicks,0.896,5.0,2025-06-17 17:25:12.776165,-111
Sabrina Ionescu,pts+rebs+asts,PrizePicks,0.901,35.9,2025-06-17 17:25:12.776165,-110
Sabrina Ionescu,threes,PrizePicks,0.865,3.2,2025-06-17 17:25:12.776165,-115
Alyssa Thomas,points,PrizePicks,0.907,19.7,2025-06-17 17:25:12.776165,-110
Alyssa Thomas,rebounds,PrizePicks,0.908,8.4,2025-06-17 17:25:12.776165,-110
Alyssa Thomas,assists,PrizePicks,0.903,5.5,2025-06-17 17:25:12.776165,-110
Alyssa Thomas,pts+rebs+asts,PrizePicks,0.891,34.5,2025-06-17 17:25:12.776165,-112
Alyssa Thomas,threes,PrizePicks,0.877,1.8,2025-06-17 17:25:12.776165,-114
Napheesa Collier,points,PrizePicks,0.928,17.5,2025-06-17 17:25:12.776165,-107
Napheesa Collier,rebounds,PrizePicks,0.896,8.1,2025-06-17 17:25:12.776165,-111
Napheesa Collier,assists,PrizePicks,0.892,5.6,2025-06-17 17:25:12.776165,-112
Napheesa Collier,pts+rebs+asts,PrizePicks,0.89,33.4,2025-06-17 17:25:12.776165,-112
Napheesa Collier,threes,PrizePicks,0.871,3.0,2025-06-17 17:25:12.776165,-114
Jewell Loyd,points,PrizePicks,0.871,20.7,2025-06-17 17:25:12.776165,-114
Jewell Loyd,rebounds,PrizePicks,0.895,8.7,2025-06-17 17:25:12.776165,-111
Jewell Loyd,assists,PrizePicks,0.88,3.2,2025-06-17 17:25:12.776165,-113
Jewell Loyd,pts+rebs+asts,PrizePicks,0.897,34.6,2025-06-17 17:25:12.776165,-111
Jewell Loyd,threes,PrizePicks,0.886,2.4,2025-06-17 17:25:12.776165,-112
Diana Taurasi,points,PrizePicks,0.924,21.2,2025-06-17 17:25:12.776165,-108
Diana Taurasi,rebounds,PrizePicks,0.912,8.9,2025-06-17 17:25:12.776165,-109
Diana Taurasi,assists,PrizePicks,0.899,3.0,2025-06-17 17:25:12.776165,-111
Diana Taurasi,pts+rebs+asts,PrizePicks,0.905,29.7,2025-06-17 17:25:12.776165,-110
Diana Taurasi,threes,PrizePicks,0.853,2.0,2025-06-17 17:25:12.776165,-117
Breanna Stewart,points,PrizePicks,0.925,18.1,2025-06-17 17:25:12.776165,-108
Breanna Stewart,rebounds,PrizePicks,0.884,6.0,2025-06-17 17:25:12.776165,-113
Breanna Stewart,assists,PrizePicks,0.879,3.2,2025-06-17 17:25:12.776165,-113
Breanna Stewart,pts+rebs+asts,PrizePicks,0.891,28.7,2025-06-17 17:25:12.776165,-112
Breanna Stewart,threes,PrizePicks,0.852,2.5,2025-06-17 17:25:12.776165,-117
