player,stat,line,action,phase_avg
Jonquel Jones,3-PT Made,1.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Points,12.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Rebounds,9.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,3-PT Made,1.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Points,10.0,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Rebounds,4.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Assists,3.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,3-PT Made,2.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Rebounds,3.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Points,14.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Rebounds,10.0,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Points,9.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,3-PT Made,3.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Assists,4.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Rebounds,5.0,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Rebounds,3.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Pts+Rebs+Asts,18.0,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,3-PT Made,2.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Points,11.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Rebounds,8.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,3-PT Made,2.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,3-PT Made,0.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Pts+Asts,19.0,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Pts+Rebs,15.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Rebounds,7.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Points,17.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Points,13.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Rebounds,10.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,3-PT Made,0.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Rebounds,5.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,3-PT Made,1.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Assists,2.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Pts+Rebs+Asts,22.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Points,15.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Points,11.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Pts+Rebs+Asts,26.0,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Pts+Rebs,23.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,3-PT Made,4.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Assists,5.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Rebounds,7.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Points,14.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Rebounds,6.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Rebounds,5.5,CONSIDER OVER (luteal = high performance),14.63
Kayla McBride,Points,11.5,CONSIDER OVER (luteal = high performance),14.63
Alanna Smith,Points,7.5,CONSIDER OVER (luteal = high performance),14.63
Jonquel Jones,Points,9.5,CONSIDER OVER (luteal = high performance),14.63
