Player,Opportunities,Opportunity_Count,Summary
Celeste Taylor,"['PTS FADE: Extended hot streak (5 games)', 'REB FADE: Extended hot streak (6 games)', 'AST FADE: Extended hot streak (6 games)']",3,PTS FADE: Extended hot streak (5 games) | REB FADE: Extended hot streak (6 games) | AST FADE: Extended hot streak (6 games)
Erica Wheeler,"['PTS FADE: Extended hot streak (8 games)', 'REB FADE: Extended hot streak (7 games)', 'AST FADE: Extended hot streak (8 games)']",3,PTS FADE: Extended hot streak (8 games) | REB FADE: Extended hot streak (7 games) | AST FADE: Extended hot streak (8 games)
Kayla Thornton,"['PTS FADE: Extended hot streak (8 games)', 'REB FADE: Extended hot streak (8 games)', 'AST FADE: Extended hot streak (5 games)']",3,PTS FADE: Extended hot streak (8 games) | REB FADE: Extended hot streak (8 games) | AST FADE: Extended hot streak (5 games)
Olivia Nelson-Ododa,"['PTS WARMING UP: Exiting cold streak, recent 5.4 vs season 4.3', 'REB FADE: Extended hot streak (7 games)', 'AST FADE: Extended hot streak (7 games)']",3,"PTS WARMING UP: Exiting cold streak, recent 5.4 vs season 4.3 | REB FADE: Extended hot streak (7 games) | AST FADE: Extended hot streak (7 games)"
Sika Koné,"['PTS FADE: Extended hot streak (7 games)', 'REB FADE: Extended hot streak (6 games)', 'AST FADE: Extended hot streak (7 games)']",3,PTS FADE: Extended hot streak (7 games) | REB FADE: Extended hot streak (6 games) | AST FADE: Extended hot streak (7 games)
Veronica Burton,"['PTS FADE: Extended hot streak (8 games)', 'REB FADE: Extended hot streak (9 games)', 'AST FADE: Extended hot streak (7 games)']",3,PTS FADE: Extended hot streak (8 games) | REB FADE: Extended hot streak (9 games) | AST FADE: Extended hot streak (7 games)
Sami Whitcomb,"['PTS FADE: Extended hot streak (6 games)', 'REB FADE: Extended hot streak (6 games)']",2,PTS FADE: Extended hot streak (6 games) | REB FADE: Extended hot streak (6 games)
Chennedy Carter,"['REB FADE: Extended hot streak (7 games)', 'AST FADE: Extended hot streak (5 games)']",2,REB FADE: Extended hot streak (7 games) | AST FADE: Extended hot streak (5 games)
Kennedy Burke,"['PTS FADE: Extended hot streak (9 games)', 'REB FADE: Extended hot streak (6 games)']",2,PTS FADE: Extended hot streak (9 games) | REB FADE: Extended hot streak (6 games)
Kelsey Mitchell,"['REB WARMING UP: Exiting cold streak, recent 2.4 vs season 2.3', 'AST FADE: Extended hot streak (6 games)']",2,"REB WARMING UP: Exiting cold streak, recent 2.4 vs season 2.3 | AST FADE: Extended hot streak (6 games)"
Damiris Dantas,"['REB FADE: Extended hot streak (5 games)', 'AST WARMING UP: Exiting cold streak, recent 0.6 vs season 0.6']",2,"REB FADE: Extended hot streak (5 games) | AST WARMING UP: Exiting cold streak, recent 0.6 vs season 0.6"
Gabby Williams,['PTS FADE: Extended hot streak (5 games)'],1,PTS FADE: Extended hot streak (5 games)
Dorka Juhász,['AST FADE: Extended hot streak (5 games)'],1,AST FADE: Extended hot streak (5 games)
DiJonai Carrington,['AST FADE: Extended hot streak (5 games)'],1,AST FADE: Extended hot streak (5 games)
Angel Reese,['AST FADE: Extended hot streak (6 games)'],1,AST FADE: Extended hot streak (6 games)
Alissa Pili,"['PTS WARMING UP: Exiting cold streak, recent 2.2 vs season 2.2']",1,"PTS WARMING UP: Exiting cold streak, recent 2.2 vs season 2.2"
A'ja Wilson,['AST FADE: Extended hot streak (6 games)'],1,AST FADE: Extended hot streak (6 games)
Aliyah Boston,['AST FADE: Extended hot streak (5 games)'],1,AST FADE: Extended hot streak (5 games)
Kayla McBride,['REB FADE: Extended hot streak (5 games)'],1,REB FADE: Extended hot streak (5 games)
Natisha Hiedeman,['PTS FADE: Extended hot streak (6 games)'],1,PTS FADE: Extended hot streak (6 games)
Maddy Siegrist,['REB FADE: Extended hot streak (5 games)'],1,REB FADE: Extended hot streak (5 games)
Lexie Hull,['PTS FADE: Extended hot streak (6 games)'],1,PTS FADE: Extended hot streak (6 games)
Kate Martin,['PTS FADE: Extended hot streak (6 games)'],1,PTS FADE: Extended hot streak (6 games)
Nyara Sabally,['PTS FADE: Extended hot streak (6 games)'],1,PTS FADE: Extended hot streak (6 games)
Stephanie Talbot,"['AST WARMING UP: Exiting cold streak, recent 1.8 vs season 2.0']",1,"AST WARMING UP: Exiting cold streak, recent 1.8 vs season 2.0"
Sug Sutton,['REB FADE: Extended hot streak (7 games)'],1,REB FADE: Extended hot streak (7 games)
Sydney Colson,['REB FADE: Extended hot streak (10 games)'],1,REB FADE: Extended hot streak (10 games)
