player_name,stat_type,line,adjusted_prediction,actual_result,kelly_fraction,kelly_used,bet_percentage,adv_phase,adv_risk_tag,game_date,raw_kelly,actual_odds
Kelsey Plum,pts+rebs+asts,39.0,41.0,,0.1547,0.05156666666666667,0.0359,luteal,phase_aligned,2025-04-28,0.1547,0.9
Arike Ogunbowale,assists,3.1,2.2,,0.0,0.0,0.0,menstrual,low_confidence,2025-04-29,0.0,0.9
Sabrina Ionescu,pts+rebs+asts,20.5,13.1,23.8,0.0,0.0,0.0,menstrual,low_confidence,2025-04-30,0.0,0.901
Alyssa Thomas,pts+rebs+asts,30.3,23.9,28.5,0.0,0.0,0.0,follicular,high_confidence,2025-05-01,0.0,0.891
Kelsey Plum,rebounds,11.6,11.8,,0.0051,0.0017000000000000001,0.0009,luteal,phase_aligned,2025-05-02,0.0051,0.894
Napheesa Collier,threes,4.3,4.0,,0.0,0.0,0.0,menstrual,moderate,2025-05-03,0.0,0.871
Jewell Loyd,threes,4.9,3.3,4.1,0.0,0.0,0.0,menstrual,moderate,2025-05-04,0.0,0.886
Napheesa Collier,points,27.4,28.8,,0.1634,0.01634,0.0322,menstrual,moderate,2025-05-05,0.1634,0.928
Diana Taurasi,threes,4.2,3.5,4.7,0.0,0.0,0.0,luteal,high_confidence,2025-05-06,0.0,0.853
Arike Ogunbowale,assists,7.0,7.6,6.9,0.25,0.025,0.0472,menstrual,moderate,2025-05-07,0.25,0.9
Arike Ogunbowale,threes,3.9,4.7,,0.25,0.05,0.0506,follicular,low_confidence,2025-05-08,0.25,0.854
Jewell Loyd,assists,6.8,7.1,9.2,0.1285,0.0257,0.0258,follicular,low_confidence,2025-05-09,0.1285,0.88
Kelsey Plum,rebounds,4.2,4.7,1.7,0.25,0.05,0.0498,ovulatory,high_confidence,2025-05-10,0.25,0.894
Kelsey Plum,threes,3.2,4.0,,0.25,0.05,0.0434,ovulatory,high_confidence,2025-05-11,0.25,0.88
Jewell Loyd,points,13.7,16.2,,0.25,0.05,0.0517,ovulatory,low_confidence,2025-05-12,0.25,0.871
Arike Ogunbowale,rebounds,5.0,4.6,7.0,0.0,0.0,0.0,luteal,phase_aligned,2025-05-13,0.0,0.901
Napheesa Collier,threes,4.4,4.4,4.3,0.0,0.0,0.0,follicular,high_confidence,2025-05-14,0.0,0.871
Alyssa Thomas,rebounds,6.7,6.5,7.8,0.0,0.0,0.0,follicular,phase_aligned,2025-05-15,0.0,0.908
Diana Taurasi,points,16.1,18.5,12.3,0.25,0.05,0.0461,follicular,high_confidence,2025-05-16,0.25,0.924
Arike Ogunbowale,points,16.3,16.1,18.1,0.0,0.0,0.0,menstrual,moderate,2025-05-17,0.0,0.93
Napheesa Collier,rebounds,11.9,12.3,13.1,0.1051,0.03503333333333333,0.019,luteal,high_confidence,2025-05-18,0.1051,0.896
Jewell Loyd,threes,3.5,4.0,5.8,0.25,0.05,0.0598,follicular,high_confidence,2025-05-19,0.25,0.886
Napheesa Collier,assists,3.9,4.0,4.8,0.0514,0.017133333333333334,0.0096,luteal,phase_aligned,2025-05-20,0.0514,0.892
Kelsey Plum,pts+rebs+asts,38.8,40.6,39.0,0.1421,0.04736666666666667,0.025,luteal,phase_aligned,2025-05-21,0.1421,0.9
Diana Taurasi,rebounds,11.4,10.9,12.8,0.0,0.0,0.0,ovulatory,phase_aligned,2025-05-22,0.0,0.912
Diana Taurasi,pts+rebs+asts,30.6,29.6,30.2,0.0,0.0,0.0,follicular,phase_aligned,2025-05-23,0.0,0.905
Alyssa Thomas,points,16.5,18.9,18.8,0.25,0.05,0.0438,ovulatory,phase_aligned,2025-05-24,0.25,0.907
Diana Taurasi,pts+rebs+asts,21.7,22.6,19.2,0.1157,0.01157,0.0288,menstrual,moderate,2025-05-25,0.1157,0.905
Sabrina Ionescu,points,14.8,9.0,15.5,0.0,0.0,0.0,menstrual,low_confidence,2025-05-26,0.0,0.876
Kelsey Plum,assists,6.3,5.4,7.7,0.0,0.0,0.0,luteal,phase_aligned,2025-05-27,0.0,0.877
Alyssa Thomas,assists,5.2,3.7,,0.0,0.0,0.0,follicular,high_confidence,2025-05-28,0.0,0.903
Napheesa Collier,threes,3.0,1.9,4.0,0.0,0.0,0.0,menstrual,low_confidence,2025-05-29,0.0,0.871
Sabrina Ionescu,threes,4.5,5.0,2.9,0.25,0.025,0.0486,menstrual,moderate,2025-05-30,0.25,0.865
Kelsey Plum,points,17.1,19.4,18.4,0.25,0.05,0.0426,ovulatory,low_confidence,2025-05-31,0.25,0.921
Arike Ogunbowale,rebounds,8.9,7.1,11.3,0.0,0.0,0.0,follicular,high_confidence,2025-06-01,0.0,0.901
Alyssa Thomas,threes,2.2,2.2,1.0,0.0238,0.00238,0.0046,menstrual,moderate,2025-06-02,0.0238,0.877
Diana Taurasi,pts+rebs+asts,36.0,40.0,41.7,0.25,0.025,0.0447,menstrual,low_confidence,2025-06-03,0.25,0.905
Alyssa Thomas,points,14.5,20.5,14.4,0.25,0.08333333333333333,0.0613,luteal,phase_aligned,2025-06-04,0.25,0.907
Napheesa Collier,threes,3.1,2.5,4.1,0.0,0.0,0.0,menstrual,moderate,2025-06-05,0.0,0.871
Alyssa Thomas,pts+rebs+asts,22.7,24.0,22.6,0.1893,0.03786,0.0389,ovulatory,low_confidence,2025-06-06,0.1893,0.891
Breanna Stewart,threes,1.7,1.3,,0.0,0.0,0.0,follicular,moderate,2025-06-07,0.0,0.852
Breanna Stewart,points,19.1,16.7,18.3,0.0,0.0,0.0,follicular,high_confidence,2025-06-08,0.0,0.925
Diana Taurasi,threes,4.0,3.8,4.9,0.0,0.0,0.0,menstrual,moderate,2025-06-09,0.0,0.853
Alyssa Thomas,threes,1.5,0.9,1.3,0.0,0.0,0.0,ovulatory,moderate,2025-06-10,0.0,0.877
Jewell Loyd,pts+rebs+asts,23.5,21.9,28.3,0.0,0.0,0.0,follicular,low_confidence,2025-06-11,0.0,0.897
