player,date,team,opponent,points,assists,rebounds,fantasy_points,minutes,trend_phase,games_in_trend,dip_type,fantasy_points_roll_3,fantasy_points_pct_drop,cycle_performance_score,days_in_cycle,percent_drop_from_avg
Zia Cooke,2024-09-19,LAS,MIN,0,0,0,0.0,1.5666666666666669,Descending,1,cycle,5.333333333333333,0.10597302504816963,-0.5809248554913294,15,10.6
Emily Engstler,2024-09-19,WAS,IND,17,4,5,33.0,27.03333333333333,Peak,2,none,25.333333333333332,-0.6714776632302405,0.31958762886597936,11,-67.1
Sami Whitcomb,2024-09-19,SEA,PHO,11,5,8,27.0,34.85,Peak,1,none,14.0,-0.2095032397408208,0.5550755939524838,16,-21.0
Tyasha Harris,2024-09-19,CON,CHI,15,4,0,22.0,26.266666666666666,Peak,2,none,24.0,-0.22834645669291329,0.5098425196850392,16,-22.8
Michaela Onyenwere,2024-09-19,CHI,CON,5,2,3,13.0,25.883333333333333,Stable,2,none,19.666666666666668,-0.638888888888889,-0.47222222222222227,15,-63.9
Satou Sabally,2024-09-19,DAL,LVA,25,7,7,47.0,31.73333333333333,Peak,1,none,45.333333333333336,-0.2781954887218045,0.0,0,-27.8
Caitlin Clark,2024-09-19,IND,WAS,8,8,5,25.0,19.78333333333333,Stable,2,none,40.333333333333336,0.0010319917440659888,-0.2156862745098039,16,0.1
DiJonai Carrington,2024-09-19,CON,CHI,12,2,12,28.0,28.45,Stable,1,none,22.0,0.08235294117647059,0.33475935828877007,16,8.2
Joyner Holmes,2024-09-19,SEA,PHO,10,3,10,24.0,18.466666666666665,Peak,3,none,16.0,-1.360655737704918,0.0,0,-136.1
Nneka Ogwumike,2024-09-19,SEA,PHO,17,1,8,28.0,23.25,Stable,3,none,31.0,0.03855825649622796,0.08549874266554908,16,3.9
Marina Mabrey,2024-09-19,CON,CHI,12,6,6,32.0,26.066666666666663,Stable,2,none,30.0,-0.05820105820105815,0.2933568489124043,15,-5.8
Sevgi Uzun,2024-09-19,DAL,LVA,0,3,0,5.0,15.116666666666667,Trough,1,cycle,6.333333333333333,0.4666666666666667,-0.4666666666666667,15,46.7
Brittney Sykes,2024-09-19,WAS,IND,12,2,5,19.0,20.23333333333333,Trough,1,unknown,16.666666666666668,0.26829268292682923,0.0,0,26.8
Diamond Miller,2024-09-19,MIN,LAS,8,0,3,12.0,20.466666666666665,Recovery,1,none,4.333333333333333,0.31060606060606066,0.0,0,31.1
Brittney Griner,2024-09-19,PHO,SEA,11,0,8,23.0,21.7,Stable,1,none,30.0,0.03536977491961419,-0.2604501607717042,20,3.5
Mikiah Herbert Harrigan,2024-09-19,PHO,SEA,9,0,5,14.0,16.133333333333333,Peak,2,none,11.333333333333334,-0.5754857997010464,0.946188340807175,16,-57.5
Jordin Canada,2024-09-19,ATL,NYL,8,6,3,19.0,25.8,Stable,1,none,26.0,-0.06995884773662549,0.0,0,-7.0
Katie Lou Samuelson,2024-09-19,IND,WAS,10,3,4,23.0,20.116666666666667,Stable,1,none,9.333333333333334,0.06666666666666661,0.5,16,6.7
Brionna Jones,2024-09-19,CON,CHI,4,0,2,10.0,19.45,Trough,1,cycle,20.0,0.17525773195876287,-0.4639175257731959,16,17.5
Nika Mühl,2024-09-19,SEA,PHO,2,3,2,9.0,14.316666666666666,Peak,3,none,5.333333333333333,-2.7101449275362315,0.0,0,-271.0
Aliyah Boston,2024-09-19,IND,WAS,10,3,3,18.0,17.583333333333332,Trough,2,cycle,24.333333333333332,0.19956140350877194,-0.1447368421052631,16,20.0
Maddy Siegrist,2024-09-19,DAL,LVA,12,2,4,19.0,33.833333333333336,Trough,1,unknown,12.333333333333334,0.21090047393364925,0.0,0,21.1
Diana Taurasi,2024-09-19,PHO,SEA,9,2,1,17.0,18.016666666666666,Stable,3,none,25.666666666666668,0.02428722280887013,-0.3537486800422387,16,2.4
Nia Coffey,2024-09-19,ATL,NYL,5,0,3,10.0,10.7,Recovery,2,none,6.333333333333333,0.30593607305936077,0.0958904109589041,15,30.6
Shatori Walker-Kimbrough,2024-09-19,WAS,IND,12,3,1,20.0,22.85,Stable,1,none,14.666666666666666,0.018952062430323293,0.7725752508361204,16,1.9
Kalani Brown,2024-09-19,DAL,LVA,13,1,9,25.0,27.216666666666665,Stable,1,none,11.666666666666666,-0.03174603174603163,0.09070294784580497,15,-3.2
Bridget Carleton,2024-09-19,MIN,LAS,6,0,3,11.0,29.716666666666665,Stable,2,none,20.333333333333332,0.008750000000000141,-0.0006250000000000844,16,0.9
Veronica Burton,2024-09-19,CON,CHI,6,3,3,14.0,18.55,Recovery,1,none,5.333333333333333,0.34650856389986834,1.0217391304347825,19,34.7
Kennedy Burke,2024-09-19,NYL,ATL,1,2,1,4.0,11.633333333333333,Stable,1,none,8.333333333333334,-0.03148751357220414,-0.19543973941368084,16,-3.1
Naz Hillmon,2024-09-19,ATL,NYL,13,0,2,15.0,21.183333333333334,Stable,2,none,18.333333333333332,-0.32610006027727545,0.08499095840867998,15,-32.6
Temi Fágbénlé,2024-09-19,IND,WAS,8,0,1,9.0,15.0,Trough,1,unknown,11.0,0.23899371069182393,0.0,0,23.9
Marquesha Davis,2024-09-19,NYL,ATL,4,1,2,9.0,13.683333333333334,Peak,1,none,4.666666666666667,-0.9047619047619048,0.0,0,-90.5
Kate Martin,2024-09-19,LVA,DAL,7,4,6,20.0,31.95,Stable,1,none,6.666666666666667,-0.016442451420029973,0.9820627802690584,12,-1.6
Nyara Sabally,2024-09-19,NYL,ATL,14,0,4,22.0,21.433333333333334,Peak,3,none,19.666666666666668,-0.5401606425702811,0.0,0,-54.0
Dana Evans,2024-09-19,CHI,CON,14,2,0,22.0,21.816666666666663,Peak,1,none,16.666666666666668,-0.2524084778420039,0.3526011560693641,15,-25.2
Alanna Smith,2024-09-19,MIN,LAS,6,3,8,22.0,23.466666666666665,Descending,1,cycle,23.0,0.1074626865671642,0.12537313432835817,16,10.7
Courtney Williams,2024-09-19,MIN,LAS,6,2,4,19.0,26.766666666666666,Stable,1,none,25.0,-0.021450459652706786,-0.4279877425944842,16,-2.1
Rae Burrell,2024-09-19,LAS,MIN,3,1,6,11.0,25.7,Stable,2,none,11.666666666666666,0.005376344086021564,-0.44585253456221197,15,0.5
Courtney Vandersloot,2024-09-19,NYL,ATL,0,2,1,7.0,16.433333333333334,Trough,1,cycle,11.0,0.3504761904761904,-0.2619047619047618,16,35.0
Crystal Dangerfield,2024-09-19,LAS,MIN,0,1,0,1.0,5.683333333333334,Stable,1,none,6.0,0.2173913043478261,-0.8695652173913043,15,21.7
Kia Nurse,2024-09-19,LAS,MIN,12,1,4,21.0,16.7,Peak,1,none,17.666666666666668,-0.37751786874593907,0.7543859649122808,15,-37.8
Megan Gustafson,2024-09-19,LVA,DAL,24,1,7,40.0,29.0,Peak,1,none,19.666666666666668,-1.6595492289442468,1.704626334519573,16,-166.0
Rhyne Howard,2024-09-19,ATL,NYL,13,4,3,29.0,25.266666666666666,Descending,1,cycle,28.666666666666668,0.11340206185567013,-0.1030927835051547,15,11.3
Damiris Dantas,2024-09-19,IND,WAS,4,3,3,11.0,14.266666666666667,Peak,2,none,14.666666666666666,-0.6572504708097928,0.0,0,-65.7
Rachel Banham,2024-09-19,CHI,CON,2,1,0,7.0,18.183333333333334,Stable,1,none,25.0,-1.3299748110831233,-0.6272040302267002,16,-133.0
Rickea Jackson,2024-09-19,LAS,MIN,19,1,8,37.0,36.03333333333333,Peak,1,none,27.666666666666668,-0.2662090007627765,0.1899313501144164,15,-26.6
Kahleah Copper,2024-09-19,PHO,SEA,4,5,1,12.0,25.3,Trough,2,cycle,17.666666666666668,0.43987432162239354,-0.6195372750642674,16,44.0
Maya Caldwell,2024-09-19,ATL,NYL,7,1,3,14.0,22.83333333333333,Recovery,1,none,8.333333333333334,0.19250645994832039,0.0,0,19.3
Olivia Époupa,2024-09-19,MIN,LAS,0,2,0,4.0,8.566666666666666,Stable,1,none,4.666666666666667,0.08812260536398454,0.0,0,8.8
Tiffany Hayes,2024-09-19,LVA,DAL,21,5,3,38.0,25.65,Peak,1,none,21.333333333333332,-0.22434782608695636,0.40608695652173904,22,-22.4
Olivia Nelson-Ododa,2024-09-19,CON,CHI,12,0,4,24.0,20.55,Peak,1,none,10.333333333333334,-0.29166666666666674,2.0,16,-29.2
Tina Charles,2024-09-19,ATL,NYL,10,3,10,25.0,22.316666666666663,Ascending,2,none,33.333333333333336,-0.11396743787489295,-0.16452442159383035,15,-11.4
Alissa Pili,2024-09-19,MIN,LAS,8,0,2,15.0,22.4,Stable,1,none,5.0,-0.0185185185185185,0.0,0,-1.9
Mercedes Russell,2024-09-19,SEA,PHO,14,0,4,22.0,24.78333333333333,Peak,4,none,17.666666666666668,-0.8837656099903939,0.5994236311239192,16,-88.4
Karlie Samuelson,2024-09-19,WAS,IND,3,3,3,9.0,20.183333333333334,Recovery,3,none,14.666666666666666,0.12121212121212127,-0.4607438016528926,16,12.1
DeWanna Bonner,2024-09-19,CON,CHI,11,2,4,22.0,24.133333333333333,Stable,1,none,20.666666666666668,0.26518518518518513,0.2088888888888889,16,26.5
Sabrina Ionescu,2024-09-19,NYL,ATL,3,7,1,16.0,22.23333333333333,Trough,2,cycle,21.333333333333332,0.37832310838445815,-0.5337423312883436,16,37.8
Celeste Taylor,2024-09-19,PHO,SEA,7,5,1,15.0,21.98333333333333,Peak,2,none,14.0,-0.8117647058823528,0.0,0,-81.2
Julie Vanloo,2024-09-19,WAS,IND,0,3,1,4.0,16.233333333333334,Trough,4,cycle,8.0,0.5031055900621119,-0.3478260869565218,16,50.3
Cecilia Zandalasini,2024-09-19,MIN,LAS,4,1,2,9.0,16.733333333333334,Trough,2,cycle,4.333333333333333,0.5061728395061729,0.13960113960113957,16,50.6
Lexie Hull,2024-09-19,IND,WAS,0,1,1,6.0,21.466666666666665,Trough,1,cycle,9.333333333333334,0.2164609053497942,-0.6641975308641975,14,21.6
Dearica Hamby,2024-09-19,LAS,MIN,20,3,7,38.0,40.0,Peak,1,none,40.333333333333336,-0.1690821256038648,0.2318840579710145,15,-16.9
Odyssey Sims,2024-09-19,LAS,MIN,4,9,2,15.0,34.31666666666667,Trough,1,unknown,17.666666666666668,0.2508833922261483,0.0,0,25.1
Sika Koné,2024-09-19,WAS,IND,20,2,7,30.0,21.966666666666665,Peak,1,none,20.666666666666668,-1.8762886597938147,0.0,0,-187.6
Jordan Horston,2024-09-19,SEA,PHO,2,2,1,9.0,17.583333333333332,Recovery,1,none,14.666666666666666,0.14371257485029942,-0.08532934131736528,16,14.4
Brianna Turner,2024-09-19,CHI,CON,4,0,6,16.0,34.63333333333333,Peak,4,none,18.0,-2.4714285714285715,0.0,0,-247.1
Laeticia Amihere,2024-09-19,ATL,NYL,2,0,1,3.0,10.0,Trough,2,unknown,1.3333333333333333,0.6158192090395481,0.0,0,61.6
