slip_id,type,legs,combined_odds,potential_multiplier,total_stake,phase,confidence,potential_payout,dry_run,date,game,player,prop_type,line,over_odds,under_odds,projection,pick,decimal_odds,flex_payouts
PAPER_PWR_20250619_001,Power,2,3.617217924844882,3.617217924844882,17.53,ovulatory,0.6111682050184842,63.41,True,2025-06-19,DAL @ LAS,D. Taurasi,points,27.2,-117.0360225749059,-113.35418080126388,25.350594151705877,under,1.8821906637508425,
PAPER_PWR_20250619_001,Power,2,3.617217924844882,3.617217924844882,17.53,ovulatory,0.578073165547155,63.41,True,2025-06-19,CHI @ SEA,C. Clark,points,15.6,-108.48190722744077,-124.29429327091316,16.279554428345563,over,1.9218127018207949,
PAPER_PWR_20250619_002,Power,3,6.402584206961413,6.402584206961413,9.17,ovulatory,0.5312241537674854,58.71,True,2025-06-19,DAL @ LAS,S. Diggins,rebounds,9.7,-111.83796847288589,-106.0680732890782,8.91401929895904,under,1.9427907653932748,
PAPER_PWR_20250619_002,Power,3,6.402584206961413,6.402584206961413,9.17,ovulatory,0.631286956678347,58.71,True,2025-06-19,DAL @ LAS,D. Taurasi,rebounds,10.4,-123.7046401170486,-117.38681657460162,8.532984079134112,under,1.8518844186940537,
PAPER_PWR_20250619_002,Power,3,6.402584206961413,6.402584206961413,9.17,ovulatory,0.6190807253462244,58.71,True,2025-06-19,MIN @ DAL,A. Gray,assists,2.7,-116.78062374944213,-128.27563192652872,2.1112551536409425,under,1.7795712911184574,
PAPER_PWR_20250619_003,Power,3,5.820410126672676,5.820410126672676,5.0,ovulatory,0.5739263252262754,29.1,True,2025-06-19,DAL @ LAS,A. Thomas,rebounds,6.2,-127.1638389850587,-124.29224093312646,7.760866478884987,over,1.7863870798344617,
PAPER_PWR_20250619_003,Power,3,5.820410126672676,5.820410126672676,5.0,ovulatory,0.5789533909117723,29.1,True,2025-06-19,DAL @ LAS,D. Taurasi,rebounds,9.5,-113.82076750620578,-120.3526455685955,7.662536148215709,under,1.8308915813820192,
PAPER_PWR_20250619_003,Power,3,5.820410126672676,5.820410126672676,5.0,ovulatory,0.6190807253462244,29.1,True,2025-06-19,MIN @ DAL,A. Gray,assists,2.7,-116.78062374944213,-128.27563192652872,2.1112551536409425,under,1.7795712911184574,
PAPER_FLX_20250619_001,Flex,2,,,50.0,ovulatory,0.5304782588202861,115.0,True,2025-06-19,CHI @ SEA,A. Thomas,assists,3.1,-115.63799229909405,-129.49020899319652,3.5702626560199624,over,1.8647676945251102,{'2': 2.3}
PAPER_FLX_20250619_001,Flex,2,,,50.0,ovulatory,0.6298788856231841,115.0,True,2025-06-19,DAL @ LAS,A. Thomas,assists,3.4,-114.66052641426884,-110.49665285909015,3.8882495007847617,over,1.8721397252154564,{'2': 2.3}
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.486778576688913,25.0,True,2025-06-19,CHI @ SEA,A. Thomas,rebounds,11.3,-113.95619988739399,-118.99930080532172,11.619148142029662,over,1.877530139639749,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.48284394815417775,25.0,True,2025-06-19,CHI @ SEA,K. Mitchell,rebounds,6.6,-129.43994054333106,-106.36451040912591,7.270574121255125,over,1.7725590693277875,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_002,Flex,3,,,5.0,ovulatory,0.6224378880812017,25.0,True,2025-06-19,CHI @ SEA,C. Clark,rebounds,5.4,-123.4485161725877,-106.1540463951256,5.510576669654412,over,1.8100542890300488,"{'2': 1.2, '3': 5.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.518467573215954,50.0,True,2025-06-19,MIN @ DAL,A. Wilson,rebounds,6.3,-106.26343790524116,-125.58509849587931,6.4295059458018935,over,1.9410574509096299,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.48284394815417775,50.0,True,2025-06-19,CHI @ SEA,K. Mitchell,rebounds,6.6,-129.43994054333106,-106.36451040912591,7.270574121255125,over,1.7725590693277875,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.5304782588202861,50.0,True,2025-06-19,CHI @ SEA,A. Thomas,assists,3.1,-115.63799229909405,-129.49020899319652,3.5702626560199624,over,1.8647676945251102,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_003,Flex,4,,,5.0,ovulatory,0.486778576688913,50.0,True,2025-06-19,CHI @ SEA,A. Thomas,rebounds,11.3,-113.95619988739399,-118.99930080532172,11.619148142029662,over,1.877530139639749,"{'2': 0.4, '3': 2.0, '4': 10.0}"
PAPER_FLX_20250619_004,Flex,4,,,5.0,ovulatory,0.631286956678347,50.0,True,2025-06-19,DAL @ LAS,D. Taurasi,rebounds,10.4,-123.7046401170486,-117.38681657460162,8.532984079134112,under,1.8518844186940537,"{'2': 0.4, '3': 2.0, '4': 10.0}"
