Player,Total_Games,Date_Range,PTS_Season_Avg,PTS_Current_Streak,PTS_Streak_Length,PTS_Hot_Streaks,PTS_Cold_Streaks,PTS_Bounce_Rate,PTS_Recent_Avg,PTS_Recent_Trend,REB_Season_Avg,REB_Current_Streak,REB_Streak_Length,REB_Hot_Streaks,REB_Cold_Streaks,REB_Bounce_Rate,REB_Recent_Avg,REB_Recent_Trend,AST_Season_Avg,AST_Current_Streak,AST_Streak_Length,AST_Hot_Streaks,AST_Cold_Streaks,AST_Bounce_Rate,AST_Recent_Avg,AST_Recent_Trend
A'ja Wilson,46,2024-05-14 00:00:00 to 2025-06-12 00:00:00,25.82608695652174,neutral,44,0,0,0.0,19.8,down,11.478260869565217,cold,2,1,0,0.0,7.8,up,2.608695652173913,hot,6,1,2,0.0,4.0,up
Aaliyah Edwards,41,2024-05-14 00:00:00 to 2025-06-15 00:00:00,7.219512195121951,neutral,1,1,2,0.0,5.6,up,5.341463414634147,cold,4,1,1,0.0,3.4,down,1.2926829268292683,cold,3,1,2,0.16666666666666666,0.6,down
Aari McDonald,29,2024-05-15 00:00:00 to 2025-06-10 00:00:00,8.931034482758621,neutral,1,1,2,0.0,7.2,up,1.9310344827586208,cold,4,2,2,0.0,0.8,up,3.6206896551724137,cold,2,1,1,0.0,2.0,up
Alanna Smith,49,2024-05-14 00:00:00 to 2025-06-14 00:00:00,10.142857142857142,cold,1,1,1,0.0,6.8,up,5.346938775510204,neutral,3,2,2,0.0,4.6,down,3.0816326530612246,neutral,4,1,0,0.0,3.4,down
Alissa Pili,31,2024-05-14 00:00:00 to 2025-06-14 00:00:00,2.161290322580645,neutral,1,2,3,0.14285714285714285,2.2,up,1.2903225806451613,neutral,2,1,1,0.14285714285714285,1.6,down,0.22580645161290322,cold,4,3,2,0.2,0.0,down
Aliyah Boston,50,2024-05-14 00:00:00 to 2025-06-14 00:00:00,13.98,neutral,12,1,1,0.0,11.0,down,8.62,cold,3,1,2,0.0,5.2,up,3.34,hot,5,1,1,0.0,5.6,down
Allisha Gray,51,2024-05-15 00:00:00 to 2025-06-15 00:00:00,16.725490196078432,hot,1,1,0,0.0,21.8,up,4.607843137254902,neutral,10,0,1,0.0,5.6,up,3.0588235294117645,neutral,1,1,2,0.0,3.8,up
Alysha Clark,50,2024-05-14 00:00:00 to 2025-06-15 00:00:00,5.74,neutral,1,2,3,0.0,4.8,up,3.24,cold,8,2,1,0.0,1.6,up,1.56,cold,8,2,1,0.2222222222222222,0.8,down
Alyssa Thomas,47,2024-05-14 00:00:00 to 2025-06-15 00:00:00,11.148936170212766,neutral,2,2,1,0.0,12.4,down,8.148936170212766,neutral,5,1,0,0.0,6.8,down,8.085106382978724,neutral,8,0,0,0.0,10.0,up
Angel Reese,44,2024-05-15 00:00:00 to 2025-06-15 00:00:00,12.863636363636363,neutral,4,1,0,0.0,11.6,down,12.840909090909092,neutral,11,1,1,0.0,10.8,up,2.227272727272727,hot,6,1,1,0.0,4.2,up
Ariel Atkins,50,2024-05-14 00:00:00 to 2025-06-15 00:00:00,14.52,neutral,12,2,0,0.0,12.6,down,3.42,neutral,2,1,1,0.0,3.4,up,3.1,neutral,8,1,2,0.0,3.0,up
