player_name,bbref_id,stat_type,reason
Marina Mabrey,mabrema01w,Free Throws Made,Stat Free Throws Made not found
Marina Mabrey,mabrema01w,FG Attempted,Stat FG Attempted not found
Marina Mabrey,mabrema01w,3-PT Attempted,Stat 3-PT Attempted not found
Caitlin Clark,clarkca01w,FG Attempted,Stat FG Attempted not found
Caitlin Clark,clarkca01w,Free Throws Made,Stat Free Throws Made not found
Caitlin Clark,clarkca01w,3-PT Attempted,Stat 3-PT Attempted not found
Kelsey Mitchell,mitchke01w,3-PT Attempted,Stat 3-PT Attempted not found
Kelsey Mitchell,mitchke01w,Free Throws Made,Stat Free Throws Made not found
Kelsey Mitchell,mitchke01w,FG Attempted,Stat FG Attempted not found
Aliyah Boston,bostoal01w,Defensive Rebounds,Stat Defensive Rebounds not found
Aliyah Boston,bostoal01w,Offensive Rebounds,Stat Offensive Rebounds not found
Aliyah Boston,bostoal01w,FG Attempted,Stat FG Attempted not found
Tina Charles,charlti01w,Free Throws Made,Stat Free Throws Made not found
Tina Charles,charlti01w,FG Attempted,Stat FG Attempted not found
Tina Charles,charlti01w,Defensive Rebounds,Stat Defensive Rebounds not found
Olivia Nelson-Ododa,nelsool01w,Free Throws Made,Stat Free Throws Made not found
Olivia Nelson-Ododa,nelsool01w,Defensive Rebounds,Stat Defensive Rebounds not found
Rhyne Howard,howarrh01w,3-PT Attempted,Stat 3-PT Attempted not found
Rhyne Howard,howarrh01w,Free Throws Made,Stat Free Throws Made not found
Rhyne Howard,howarrh01w,FG Attempted,Stat FG Attempted not found
Allisha Gray,grayyal01w,FG Attempted,Stat FG Attempted not found
Allisha Gray,grayyal01w,Free Throws Made,Stat Free Throws Made not found
Allisha Gray,grayyal01w,3-PT Attempted,Stat 3-PT Attempted not found
Allisha Gray,grayyal01w,Defensive Rebounds,Stat Defensive Rebounds not found
Allisha Gray,grayyal01w,Offensive Rebounds,Stat Offensive Rebounds not found
Brittney Griner,grinebr01w,Defensive Rebounds,Stat Defensive Rebounds not found
Brittney Griner,grinebr01w,Free Throws Made,Stat Free Throws Made not found
Brionna Jones,jonesbr01w,Defensive Rebounds,Stat Defensive Rebounds not found
Brionna Jones,jonesbr01w,Free Throws Made,Stat Free Throws Made not found
Brionna Jones,jonesbr01w,Offensive Rebounds,Stat Offensive Rebounds not found
Breanna Stewart,stewabr01w,Offensive Rebounds,Stat Offensive Rebounds not found
Breanna Stewart,stewabr01w,FG Attempted,Stat FG Attempted not found
Breanna Stewart,stewabr01w,Free Throws Made,Stat Free Throws Made not found
Sabrina Ionescu,ionessa01w,Free Throws Made,Stat Free Throws Made not found
Sabrina Ionescu,ionessa01w,FG Attempted,Stat FG Attempted not found
Sabrina Ionescu,ionessa01w,3-PT Attempted,Stat 3-PT Attempted not found
Jonquel Jones,jonesjo01w,Defensive Rebounds,Stat Defensive Rebounds not found
Jonquel Jones,jonesjo01w,Free Throws Made,Stat Free Throws Made not found
Jonquel Jones,jonesjo01w,FG Attempted,Stat FG Attempted not found
Natasha Cloud,cloudna01w,Free Throws Made,Stat Free Throws Made not found
Napheesa Collier,collina01w,Free Throws Made,Stat Free Throws Made not found
Napheesa Collier,collina01w,3-PT Attempted,Stat 3-PT Attempted not found
Napheesa Collier,collina01w,FG Attempted,Stat FG Attempted not found
Napheesa Collier,collina01w,Defensive Rebounds,Stat Defensive Rebounds not found
Kayla McBride,mcbrika01w,FG Attempted,Stat FG Attempted not found
Kayla McBride,mcbrika01w,Free Throws Made,Stat Free Throws Made not found
Kayla McBride,mcbrika01w,3-PT Attempted,Stat 3-PT Attempted not found
Courtney Williams,willico01w,FG Attempted,Stat FG Attempted not found
Courtney Williams,willico01w,Offensive Rebounds,Stat Offensive Rebounds not found
Arike Ogunbowale,ogunbar01w,3-PT Attempted,Stat 3-PT Attempted not found
Arike Ogunbowale,ogunbar01w,FG Attempted,Stat FG Attempted not found
Arike Ogunbowale,ogunbar01w,Free Throws Made,Stat Free Throws Made not found
