player_name,stat_type,line,predicted_value,confidence_score,volatility_score,recommendation,bbref_id,timestamp,confidence_over,confidence_under,over_hit_count,under_hit_count,percentile_20_value,trap_confirmed_by,anomaly_type,is_trap_line,debug_diff,debug_notes
Marina Mabrey,Pts+Rebs+Asts,34.5,26.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.414890,0.01300000000000004,0.9,0,0,,confidence,DEMON,True,7.899999999999999,"diff=7.9, conf_over=0.013, conf_under=0.900"
Marina Mabrey,Pts+Rebs+Asts,39.5,26.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.419234,0.01,0.9,0,0,,confidence,DEMON,True,12.899999999999999,"diff=12.9, conf_over=0.010, conf_under=0.900"
Marina Mabrey,Points,29.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.421196,0.01,0.9,0,0,,confidence,DEMON,True,11.899999999999999,"diff=11.9, conf_over=0.010, conf_under=0.900"
Marina Mabrey,Fantasy Score,30.5,0.0,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.427379,0.01,0.9,0,0,,confidence,DEMON,True,30.5,"diff=30.5, conf_over=0.010, conf_under=0.900"
Marina Mabrey,Points,24.5,17.6,0.0,0.5,PASS,mabrema01w,2025-06-17T11:02:51.433623,0.04300000000000004,0.8759999999999999,0,0,,confidence,DEMON,True,6.899999999999999,"diff=6.9, conf_over=0.043, conf_under=0.876"
Caitlin Clark,Fantasy Score,43.5,19.4,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.472556,0.01,0.9,0,0,,confidence,DEMON,True,24.1,"diff=24.1, conf_over=0.010, conf_under=0.900"
Caitlin Clark,Points,29.5,21.1,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.493654,0.01,0.9,0,0,,confidence,DEMON,True,8.399999999999999,"diff=8.4, conf_over=0.010, conf_under=0.900"
Caitlin Clark,Pts+Rebs+Asts,44.5,35.5,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.497725,0.01,0.9,0,0,,confidence,DEMON,True,9.0,"diff=9.0, conf_over=0.010, conf_under=0.900"
Caitlin Clark,Pts+Rebs+Asts,49.5,35.5,0.0,0.5,PASS,clarkca01w,2025-06-17T11:02:51.501710,0.01,0.9,0,0,,confidence,DEMON,True,14.0,"diff=14.0, conf_over=0.010, conf_under=0.900"
Kelsey Mitchell,Points,24.5,17.2,0.0,0.5,PASS,mitchke01w,2025-06-17T11:02:51.543816,0.031,0.892,0,0,,confidence,DEMON,True,7.300000000000001,"diff=7.3, conf_over=0.031, conf_under=0.892"
Kelsey Mitchell,Fantasy Score,24.5,0.0,0.0,0.5,PASS,mitchke01w,2025-06-17T11:02:51.547781,0.01,0.9,0,0,,confidence,DEMON,True,24.5,"diff=24.5, conf_over=0.010, conf_under=0.900"
Aliyah Boston,Pts+Rebs+Asts,34.5,25.6,0.0,0.5,PASS,bostoal01w,2025-06-17T11:02:51.572271,0.01,0.9,0,0,,confidence,DEMON,True,8.899999999999999,"diff=8.9, conf_over=0.010, conf_under=0.900"
Aliyah Boston,Pts+Rebs+Asts,19.5,25.6,0.0,0.5,PASS,bostoal01w,2025-06-17T11:02:51.590788,0.8440000000000001,0.06699999999999998,0,0,,confidence,GOBLIN,True,-6.100000000000001,"diff=-6.1, conf_over=0.844, conf_under=0.067"
Aliyah Boston,Fantasy Score,31.5,0.0,0.0,0.5,PASS,bostoal01w,2025-06-17T11:02:51.608036,0.01,0.9,0,0,,confidence,DEMON,True,31.5,"diff=31.5, conf_over=0.010, conf_under=0.900"
Tina Charles,Fantasy Score,28.5,0.0,0.0,0.5,PASS,charlti01w,2025-06-17T11:02:51.616402,0.01,0.9,0,0,,confidence,DEMON,True,28.5,
Tina Charles,Points,24.5,16.8,0.0,0.5,PASS,charlti01w,2025-06-17T11:02:51.631884,0.019000000000000017,0.9,0,0,,confidence,DEMON,True,7.699999999999999,
Rhyne Howard,Fantasy Score,35.5,0.0,0.0,0.5,PASS,howarrh01w,2025-06-17T11:02:51.660507,0.01,0.9,0,0,,confidence,DEMON,True,35.5,
Rhyne Howard,Pts+Rebs+Asts,39.5,28.4,0.0,0.5,PASS,howarrh01w,2025-06-17T11:02:51.675999,0.01,0.9,0,0,,confidence,DEMON,True,11.100000000000001,
Rhyne Howard,Pts+Rebs+Asts,34.5,28.4,0.0,0.5,PASS,howarrh01w,2025-06-17T11:02:51.692215,0.06699999999999998,0.8440000000000001,0,0,,confidence,DEMON,True,6.100000000000001,
Rhyne Howard,Points,24.5,18.3,0.0,0.5,PASS,howarrh01w,2025-06-17T11:02:51.696308,0.06400000000000003,0.848,0,0,,confidence,DEMON,True,6.199999999999999,
Allisha Gray,Fantasy Score,31.0,0.0,0.0,0.5,PASS,grayyal01w,2025-06-17T11:02:51.721276,0.01,0.9,0,0,,confidence,DEMON,True,31.0,
Allisha Gray,Pts+Rebs+Asts,24.5,30.0,0.0,0.5,PASS,grayyal01w,2025-06-17T11:02:51.725518,0.82,0.08500000000000002,0,0,,confidence,GOBLIN,True,-5.5,
Allisha Gray,Points,15.5,20.6,0.0,0.5,PASS,grayyal01w,2025-06-17T11:02:51.735239,0.804,0.09699999999999998,0,0,,confidence,GOBLIN,True,-5.100000000000001,
Allisha Gray,Points,14.5,20.6,0.0,0.5,PASS,grayyal01w,2025-06-17T11:02:51.739445,0.8440000000000001,0.06699999999999998,0,0,,confidence,GOBLIN,True,-6.100000000000001,
Brittney Griner,Fantasy Score,22.5,2.3,0.0,0.5,PASS,grinebr01w,2025-06-17T11:02:51.788519,0.01,0.9,0,0,,confidence,DEMON,True,20.2,
Brittney Griner,Points,17.5,10.8,0.0,0.5,PASS,grinebr01w,2025-06-17T11:02:51.803389,0.049000000000000016,0.8679999999999999,0,0,,confidence,DEMON,True,6.699999999999999,
Brionna Jones,Fantasy Score,29.0,0.0,0.0,0.5,PASS,jonesbr01w,2025-06-17T11:02:51.807512,0.01,0.9,0,0,,confidence,DEMON,True,29.0,
Brionna Jones,Points,19.5,12.7,0.0,0.5,PASS,jonesbr01w,2025-06-17T11:02:51.830805,0.045999999999999985,0.872,0,0,,confidence,DEMON,True,6.800000000000001,
Breanna Stewart,Fantasy Score,40.0,0.0,0.0,0.5,PASS,stewabr01w,2025-06-17T11:02:51.850668,0.01,0.9,0,0,,confidence,DEMON,True,40.0,
