player_name,team_name,stat_type,line,timestamp
Sabrina Ionescu + Rhyne Howard,NYL/ATL,Points (Combo),36.5,2025-06-17T11:02:49.810439
Jonquel Jones + Brionna Jones,NYL/ATL,Rebounds (Combo),18.5,2025-06-17T11:02:49.810440
Sabrina Ionescu + Rhyne Howard,NYL/ATL,Assists (Combo),9.0,2025-06-17T11:02:49.810442
Sabrina Ionescu + Rhyne Howard,NYL/ATL,3-PT Made (Combo),5.5,2025-06-17T11:02:49.810443
Sabrina Ionescu + Allisha Gray,NYL/ATL,3-PT Made (Combo),4.5,2025-06-17T11:02:49.810444
Caitlin Clark + Marina Mabrey,IND/CON,Points (Combo),39.0,2025-06-17T11:02:49.810445
Aliyah Boston + Tina Charles,IND/CON,Rebounds (Combo),13.5,2025-06-17T11:02:49.810449
Caitlin Clark + Marina Mabrey,IND/CON,Assists (Combo),13.0,2025-06-17T11:02:49.810450
Ariel Atkins + Brittney Sykes,CHI/WAS,Points (Combo),32.5,2025-06-17T11:02:49.811840
Angel Reese + Kiki Iriafen,CHI/WAS,Rebounds (Combo),19.0,2025-06-17T11:02:49.811841
Ariel Atkins + Brittney Sykes,CHI/WAS,Assists (Combo),8.0,2025-06-17T11:02:49.811842
Paige Bueckers + Kayla Thornton,DAL/GSV,Points (Combo),32.5,2025-06-17T11:02:49.811843
Paige Bueckers + Kayla Thornton,DAL/GSV,Rebounds (Combo),12.5,2025-06-17T11:02:49.811844
Paige Bueckers + Veronica Burton,DAL/GSV,Assists (Combo),12.5,2025-06-17T11:02:49.811846
Kayla McBride + Jackie Young,MIN/LVA,Points (Combo),36.0,2025-06-17T11:02:49.811847
Courtney Williams + Chelsea Gray,MIN/LVA,Assists (Combo),11.0,2025-06-17T11:02:49.811849
Kayla McBride + Jackie Young,MIN/LVA,3-PT Made (Combo),5.0,2025-06-17T11:02:49.811850
Kayla McBride + Jewell Loyd,MIN/LVA,3-PT Made (Combo),5.0,2025-06-17T11:02:49.811851
Dearica Hamby + Nneka Ogwumike,LAS/SEA,Rebounds (Combo),16.0,2025-06-17T11:02:49.812750
Azura Stevens + Ezi Magbegor,LAS/SEA,Rebounds (Combo),15.5,2025-06-17T11:02:49.812751
