"bet_id","date","player","market","phase","prediction","actual_result","profit_loss"
"BET001","2025-04-30","Sabrina Ionescu","pts+rebs+asts","menstrual","over","loss","-1"
"BET002","2025-05-01","Alyssa Thomas","pts+rebs+asts","follicular","over","loss","-1"
"BET003","2025-05-04","Jewell Loyd","threes","menstrual","over","loss","-1"
"BET004","2025-05-06","Diana Taurasi","threes","luteal","over","loss","-1"
"BET005","2025-05-07","Arike Ogunbowale","assists","menstrual","over","win","0.91"
"BET006","2025-05-09","Jewell Loyd","assists","follicular","over","win","0.91"
"BET007","2025-05-10","Kelsey Plum","rebounds","ovulatory","over","win","0.91"
"BET008","2025-05-13","Arike Ogunbowale","rebounds","luteal","over","loss","-1"
"BET009","2025-05-14","Napheesa Collier","threes","follicular","over","loss","-1"
"BET010","2025-05-15","Alyssa Thomas","rebounds","follicular","over","loss","-1"
"BET011","2025-05-16","Diana Taurasi","points","follicular","over","win","0.91"
"BET012","2025-05-17","Arike Ogunbowale","points","menstrual","over","loss","-1"
"BET013","2025-05-18","Napheesa Collier","rebounds","luteal","over","win","0.91"
"BET014","2025-05-19","Jewell Loyd","threes","follicular","over","win","0.91"
"BET015","2025-05-20","Napheesa Collier","assists","luteal","over","win","0.91"
"BET016","2025-05-21","Kelsey Plum","pts+rebs+asts","luteal","over","win","0.91"
"BET017","2025-05-22","Diana Taurasi","rebounds","ovulatory","over","loss","-1"
"BET018","2025-05-23","Diana Taurasi","pts+rebs+asts","follicular","over","loss","-1"
"BET019","2025-05-24","Alyssa Thomas","points","ovulatory","over","win","0.91"
"BET020","2025-05-25","Diana Taurasi","pts+rebs+asts","menstrual","over","win","0.91"
"BET021","2025-05-26","Sabrina Ionescu","points","menstrual","over","loss","-1"
"BET022","2025-05-27","Kelsey Plum","assists","luteal","over","loss","-1"
"BET023","2025-05-29","Napheesa Collier","threes","menstrual","over","loss","-1"
"BET024","2025-05-30","Sabrina Ionescu","threes","menstrual","over","win","0.91"
"BET025","2025-05-31","Kelsey Plum","points","ovulatory","over","win","0.91"
"BET026","2025-06-01","Arike Ogunbowale","rebounds","follicular","over","loss","-1"
"BET027","2025-06-02","Alyssa Thomas","threes","menstrual","over","loss","-1"
"BET028","2025-06-03","Diana Taurasi","pts+rebs+asts","menstrual","over","win","0.91"
"BET029","2025-06-04","Alyssa Thomas","points","luteal","over","win","0.91"
"BET030","2025-06-05","Napheesa Collier","threes","menstrual","over","loss","-1"
"BET031","2025-06-06","Alyssa Thomas","pts+rebs+asts","ovulatory","over","win","0.91"
"BET032","2025-06-08","Breanna Stewart","points","follicular","over","loss","-1"
"BET033","2025-06-09","Diana Taurasi","threes","menstrual","over","loss","-1"
"BET034","2025-06-10","Alyssa Thomas","threes","ovulatory","over","loss","-1"
"BET035","2025-06-11","Jewell Loyd","pts+rebs+asts","follicular","over","loss","-1"
"BET036","2025-06-12","Breanna Stewart","rebounds","luteal","over","loss","-1"
"BET037","2025-06-13","Napheesa Collier","rebounds","ovulatory","over","loss","-1"
"BET038","2025-06-14","Napheesa Collier","points","follicular","over","win","0.91"
"BET039","2025-06-15","Breanna Stewart","assists","ovulatory","over","loss","-1"
"BET040","2025-06-16","Breanna Stewart","rebounds","luteal","over","win","0.91"
